id;description;def
1012242835480806_aug;uncharacterisierte Bedeutung, was dort die Macht übernommen hat;TRUE
952084304829993_aug;Das dumme Schwein hoffte auf Gangbang. ..leider wurde es gerade Boom-aua...hits der richtige Kerl;TRUE
1321_aug;NSU 2.0 Das Urteil des Führers IM NAMEN DER DEUTSCHEN VOLCES! Im Strafverfahren gegen die Janine WißLER, geboren am 23. Mai 1981 in Langen, zur Zeit der Adalbertstr. 30 in 60486 Frankfurt/M die Martina RENNER, geboren am 11. März 1967 in Mainz, zur Zeit der Backhausstr. 39, 99334 Am Waxenburg, die Anne HELM, geboren am 6. Juli 1986 in Rostock, zur Zeit der Böhmischen Str. 43, 12055 Berlin, in Dogan, wegen Landesverratfeindung, Vorbereitung auf Hochverrat, Wir sind heroisch über das ganze deutsche Volk nach der NSU 2.0, um gegen unseren Sieg zu kämpfen, sie werden immer das Opfer unserer Krieger, Völker und Heimat verraten. Sie werden mit der TODE bestraft.;TRUE
1391786441303265280_aug;@hamadsports @Laza069 @delilabaatzen @niddalas2021 Du fetter Hurensohn hahahahahahahahahahah du machst falsches Leck, aber bei dem echten fetten Hurensohn, der stinkende Eier hat;TRUE
1012231332148623_aug;"ACHTUNG FAKEBILD! ?????? Welche peinlichen Idioten lassen ihren mentalen Müll wieder los, einfach sensationell! Diese intellektuellen Low-Flyer haben wirklich Null-Markierung und wissen offensichtlich nicht, wofür ""Striezel"" und Striezelmarkt steht? Hey Ihre Luftpumpen, kurze Informationen über die Kultur und christlichen Werte, das Christbread, auch Striezel oder Stollen genannt, gab dem Markt am Montag vor Weihnachten um 1500 den Namen Striezelmontag! Die Christstollen oder Weihnachtsstollen ist ein brotartiger Kuchen, an den man sich – dick mit Puderzucker überzogen – der gewickelten Christkind erinnert. Der Name STRIEZELMARKT steht genau wie der Weihnachtsmarkt klar für die christlich geprägte Kultur des Abendlandes! #HooligansZatzbauIQ0 ##MerktFaucheist#LinkstokenStops";TRUE
1718_aug;@Onigv7 unschuldige Frauen werden vergewaltigt und sie nutzt die Aufmerksamkeit, um über diese dreckige Nutte zu sprechen;TRUE
1704_aug;@Satokolover88 Sexxe ratte;TRUE
982702985101458_aug;Der Schneider hat den Knall noch nicht gehört, spätestens wer Ali und Mustafa wirklich an ihr vergehen, dann ist der Schrei groß, schreien, aber bitte nicht um Hilfe und lassen Sie es über Ihnen vorbei .. Oder der Schneider steht uff asyl-swapping dann ihre dumme Kommentar wäre plausibel ...!!!;TRUE
895202190518205_aug;Arme, stufenlose, geistlose... alle beide....der spirituelle Horizont knieender Waldameisen;TRUE
979_aug;Oh Gott, schauen Sie gerade Wimpern in der n-tv Nachrichten, ich denke, ich muss co***, Ich bin schlecht;TRUE
1057942087577547_aug;Warum nur die verantwortlichen Politiker und wir haben nur die Osttrulla, die Misere, die Leyen,Gabriel die Schwabbelwurscht, die Vollhorscht, Maasmännchen etc.????;TRUE
1351_aug;Dann brauche ich kein Blatt mehr vor meinen Mund zu nehmen .... dieser ganze links-grüne anti-deutsch denkende Drecksack wird ganz ins Konzentrationslager und aus der Maus geworfen;TRUE
1305_aug;Offensichtlich sind unsere Neger nicht wirklich an einem freien Leben interessiert. Das Einzige, was sie wollen, sind ihre Sozialleistungen und ihr Geld... naja, natürlich konnten Sie es nicht wissen.;TRUE
952178954820528_aug;Mathias Schü ... Du wirst in diesem Zusammenhang toll geschrieben Du bist arrogant ... Und wenn ich mir das Profil des Rotzlöffels ansehe ... denke ich an meinen Teil;TRUE
1565_aug;@RobertMertens16 @stormyseas212 @MoebusAnne @mamjahid Du bist ein fremdenfeindlicher kleiner Volksposten, der sich im Netz wirklich toll anfühlt.;TRUE
1578_aug;Ich wusste es hahaha, du Tüte;TRUE
1010844958953927_aug;Was ist mit Halbwissen, wenn du die beiden Schwuchteln nicht magst? Ich schätze, ich bin wirklich unkultiviert, weil ich die Bedeutung ihrer Show nicht verstehe! Was für ein Unterhaltungswert hat das, wenn die Trottel ihre Daumen in den Arsch legen? Und solche Verlierer wollen, dass ich dumm bin! Hahaha, da muss jemand kommen, der schlauer ist.;TRUE
1791_aug;Warum wird unser Waffengesetz nicht endlich geändert? Damit man sich selbst bewaffnen und sich gegen diese tollwütigen Tiere verteidigen kann?Dann kann man zumindest die Tiere töten, wenn man angegriffen wird.Sind Merkel und Co, dass wir freies Spiel für alle Affenmenschen sind?Das sind intelligent noch Neandertaler ohne menschlichen Verstand.;TRUE
856776247694133_aug;stefan helme du rot voll gepostet;TRUE
1599_aug;Dieses blöde Arschloch.;TRUE
1795_aug;"""@User Tanja-Gotsch hätten Sie die Juden in der Vergangenheit getötet, weil Hitler das wollte.""";TRUE
1010693522302404_aug;Theo Brenner Suchen Sie einen Pathologen, um Ihren Hirntod zu bestätigen!;TRUE
857526484285776_aug;Geh und lese in deinem staubigen Märchenbuch und fessele das Kopftuch mit deinem Aishe : -);TRUE
858439244194500_aug;Michael Pootemans Ich sage jetzt zum letzten Mal, etwas ist mit meiner Tastatur, da ich auf Facebook registriert dreht den Rum, ist das jetzt klar oder was!!! Und wenn sie nichts mehr zu sagen haben, dann sollten sie so freundlich sein und sich von Kommentaren enthalten, weil das zeigt, dass ihre niedrige Geisteszustand!!! Denn wenn ihr spiritueller Zustand besser wäre, würden sie fragen, warum meine Schreibweise so schlecht ist!!!;TRUE
1265_aug;Du Fotze du Hurensohn du Kind Ficker du Kibdrficker du Inzucht PEDOOHILE Scheiße Du sende mir deine perverse Sex PEDOPHILE Kinder Pornographie Filme auf meinem Handy Haben Sie betrunken Lack Sie krank Inzucht Objekt aus der Gruppe Sayings Ich habe Ihre Adresse, ich komme, um Sie zu besuchen, und dann werde ich dich eiskalt gehen schießen Sie bitte PEDOPHILE Scumbag;TRUE
855915294446895_aug;Michael Theben, du schreibst so ein Zeug hier, dass sich meine Nackenhaare ausbreiten. Wahrscheinlich bist du genauso dumm, wie du aussiehst. Bitte erspare uns mehr Geschichten, noch besser, wenn du nach Syrien oder in einen anderen deiner Lieblingsstaaten gehst.;TRUE
856914051013686_aug;Ansichten zu diskutieren, ist eine Sache, unsinniger monotoner Unsinn ohhn die Grundlage jeder Lebenserfahrung und Gehirne loslassen, die andere... Grönermeier ist der Musiker der CDU, jeder Idiot denkt, es sei gut, also ist es besser, auf keine von Pegidas Schwuchteln zu hören, sorry;TRUE
676_aug;@ibikus31 @BlondJedi @Beatrix_vStorch @CDU @CSU @spdbt @Die_Gruenen @RegSprecherin @GottfriedCurio @fdp @Linksfraktion Weil der Rest, d.h. die überflüssige MÜLL, im BT, also PEVERS,PÄDOPHIL,RASSISTICAL,GIERIG,MACHTGEIL,KRIMINELL,IDEOLOGISED,POPULISTICAL,HEETTERIC,ANTIDEUTSCH,WURZELLOS und hässlich wie Claudia Roth oder Stegner sind. Koh Bendit ist auch einer von denen, die seine Rechnung bekommen sollten.;TRUE
1804_aug;@sabowithfire Diese Sara ist so deaktiviert Digga sie ist schlimmer als dieses Monster;TRUE
1541_aug;Die beiden Männer auf dem Foto sollten regelmäßig einen Boostereinlass verpasst werden, der die geeignete Spritze für Löcher ist.;TRUE
1067815666590189_aug;Bitte, Klaus Ehm, schreibe nicht Merkelchen! Man denkt an ein süßes Ferkelchen. Für uns ist es eine hässliche, lügende, schändliche Frau!;TRUE
1284_aug;Du bist ein Hurensohn.;TRUE
982779048427185_aug;Lesen Sie die Version der GG von Mädchen bis 1989! Töpferkurs mit 1 geschlossen, aber Geschichte ist nicht in Frage. Dummtrulla.;TRUE
856848874353537_aug;"# Du bist nur ""DUMM""!! Sind das Vorurteile? *Tricks* # Sieh dir an, wer Europa tatsächlich überschwemmt Ja, das haben wir uns angesehen! # ihr erbärmlichen Kreaturen! Beleidigungen? *ttztz*";TRUE
1012917188746704_aug;Die Grünen?Das sind Nachgeburten.;TRUE
1056478657723890_aug;Es fehlt immer noch an hirnlosem Künast, Marionettes Altmeyer und dem GAUCKler;TRUE
1389_aug;Was für ein korruptes, geöltes politisches Arschloch!;TRUE
1134091833295905_aug;Diese deaktiviert werden sollte ...;TRUE
856756561029435_aug;Multi Kulti, ....Lesen Sie Du Depp NSU: Die Wahrheit;TRUE
1643_aug;Genau wie du fettes Huso hahahahahaha;TRUE
856802154358209_aug;... möchte wissen, hinter welcher Mutter Herr Helmke lebt .. offenbar bezieht er sich sein Wissen nur von den staatlichen Medien ... seine Intelligenz ist sicherlich auf das Verhalten wie eine Marionette basiert ????!;TRUE
858003777571380_aug;Du bist eine Schande für Deutschland!;TRUE
1703_aug;Hat die schäbige Fotze ein schönes Gesicht auf ihre Hunde bekommen und dann alles verstanden.. Aber sie hat Glück, dass der Fahrer keine Zeit hatte..;TRUE
857644467607311_aug;Und du ein Muraddin :) -- Lustig Islamisiert Mischpoke Du;TRUE
616_aug;@BlondJedi @Boelscheline Hey Charr...du bist kein guter Boxer...im Ami-Land wird dich jeder sparsame Partner pfeifen...!;TRUE
960984853939938_aug;Und Udo Görtz ist dumm.;TRUE
1370_aug;Wie wer es andersherum um die widerlichen Schwarzen aus Deutschland ist;TRUE
952157218156035_aug;Pfeifen Sie einfach die Junx zurück und polieren Sie das Gesicht dieses dummen Lollipops wieder, weil er es nicht verstanden hat, weil er eine Lektion bekam, weil er sich als Melodie verkleidet hat. Grüne Schönheitsgeister brauchen länger, als es einen Mangel an geistiger Kapazität gibt.;TRUE
837_aug;Was hat der Donerwetter den Seehofer an der Oberlippe ? Hatte er schmutzigen Schauder-Sex mit C.Roth ? Oder kommt das Böse ans Licht ?? Pfui-Spinne hat die Nen Herpes wegen Selbst-Emotion ! Solches sollte nicht in die Fernsehzeit der Kinder gebracht werden !;TRUE
963599823678441_aug;"Hätte Heino noch Haare, wären sie blond. Warum: Die Wahrscheinlichkeit, dass dumme Menschen blond sind, ist ziemlich hoch. ;-)";TRUE
1069269819778107_aug;Kretschi: Senil, Debil, Hohlraumdübel und Hirnprotheseträger.;TRUE
856791234359301_aug;Du bist so intelligent Monika Du hast es auf. Ich wünsche dir einen Sinneswandel eine Muslimin als Freundin, die dir den ganzen Tag in den Arsch getreten hat, Es ist nicht richtig, dass Frauen sich in die Männerwelt einmischen.;TRUE
961083440596746_aug;Udo Görtz ist nicht nur dumm, sondern ein sehr kluger....er fühlte sich auch adressiert....was für ein Idiot...;TRUE
982690255102731_aug;Ramon De la Perez Verfluchter Brennstoff gurgelte oder keine Steine mehr aus der Antifa? eine solche Glühbirne ^^;TRUE
894680667237024_aug;Tut mir leid, ich muss dich verbessern, Totenhöfer ist Scheiße und das ist Schweinescheiße !!!;TRUE
1397_aug;@FSuhrbier @C_Siemering Jetzt ist es wieder die Ecke des Gläubigen, du bist der wahre unmenschlich erniedrigende dumme Dreier faschistischer selbstverweisender Pharmakriminelle! Wir holen dich!;TRUE
856785534359871_aug;Warum gehst du dann nicht in eines dieser Länder, liebe Monika Bohn... ..in einen Schleier stecken und sie dich vergewaltigen lassen...;TRUE
858088150896276_aug;Vernünftige Argumente? Sie sollten diese beiden Worte nicht in Ihren Mund nehmen, Ihre dummen Kommentare sprechen eine andere Sprache. Und vor solchen Themen wie Sie, jede vernünftig denkende Person sofort schließt, verschenkt Zeit und völlig bedeutungslos.;TRUE
1258_aug;Du dumme kleine Fotze, die du nur einmal in deinen Mund geschaut hast, hast dich voll Schminke angeschaut und mir erzählt, was mit Nageltante oder Wimpern ist, es reicht mir langsam. Mit dir wegen solchen Leuten wie denen werden wir eingesperrt sein und er wird sich so lange schleppen, bis er nicht alle geimpft wird Und doch was würde dir gut tun, dass sie sich ein bisschen respektabler öffnen, also verpiss dich nicht, es muss nicht jedermanns Meinung sein und alles zum Guten, was diese beschissenen Politiker tun;TRUE
1649_aug;Hässliche und dumme immer noch Fragen, können Sie immer noch in den Spiegel Pfui Teufel, wie Hundescheiße aussehen,;TRUE
1055076691197420_aug;"""Wir können das"", wird Aysche Ferkel hier noch einmal sagen! Zum Kotzen!!!";TRUE
195_aug;@SawsanChebli @SawsanChebli ...um sich darüber zu rühmen ist schön...dumm...Wenn man tief genug gräbt, findet man eigentlich immer noch einen dümmeren Deutschen...obwohl Katjas Oberflächenkratzen genug ist...;TRUE
951918524846571_aug;Peter Pertersen Sie sind so ein echtes Beispiel für dumme gute Menschen mit Ihrem gefälschten Profil!;TRUE
1403_aug;Warum denkt meine Mutter, dass Rassendiskriminierung eine Meinung ist, dass du Hure getötet hast?;TRUE
1035135369858219_aug;Ich bin auch sehr beeindruckt. Ich freue mich, dort zu sein. Die Hymne wird auch schön gesungen, wir hoffen, dieses Stück Unheil von Merkel zu stürzen.;TRUE
935301613174929_aug;Nun, ein Licht schien nicht genau bestätigt zu werden mein Verdacht mit inzest Ronny und ich kann nur Menschen beleidigen und nicht etwas wie Sie nur gut die Pegida hier Westen niemand will schön im Osten bleiben gibt es ja auch die meisten dummen Menschen nach pisa Studie Nix gelernt aus der Geschichte und immer schön maskieren am besten mit Marschmusik braun Brut hahahahaha;TRUE
1112170062154749_aug;der kerl ist wie ein furz, niemand sieht ihn aber jeder riecht ihn ?????....glorious diese links.- Grüne trolle....wobei er schon extrem einseitig & stumpf ist *Chipsaufmach ????????;TRUE
972341872804236_aug;Vermutet linksgerichteter Extremist!!!!Hallo Klopf Klopf Du Arschloch Lutz Bachmann!Weißt du, was du schreibst?Hallo Lutz Bachmann!Verurteilt, bevor sich der Täter herausstellt, hatten wir schon!Du kleines Arschloch zuerst denken und lesen und dann schreiben!Du bist sogar zu feige, um dein Bild wie mich zu zeigen, Wurst!;TRUE
820_aug;@Ralf_Stegner Ralle Sie alten Müll kann noch lebt ... dachte, die Zeit hat dich gesegnet...;TRUE
1372_aug;Dreckige Hurensöhne;TRUE
858340034204421_aug;Marta, was meinen Sie damit, dass es keinen Nazi gibt, was sind Sie, ich würde sagen Kindergarten und Islamist!;TRUE
1811_aug;Lauterbach ist einer der größten und abscheulichsten Verbrecher unserer Zeit. Hoffe, dass dieser SChwein seine Strafe für seine Angstpropaganda und seinen Anteil an der Zerstörung von Millionen von Existenzen bekommt;TRUE
1594_aug;Es ist so fett, als ob es zu einem fetten Schwein gehört, LBR, LBR, mit dir?;TRUE
982913048413785_aug;Also Kuhweidner (oh nein, jetzt lasse ich mich schon auf ihre dumme Bürgerebene hinunter), von nun an meinen Hals schließen, denn mit ihnen kommt nur noch ein dünner Schuss heraus :D;TRUE
1623_aug;@Rtti19311602 @RhodGuard Oh, er hat mich blockiert, bevor ich antworten konnte.;TRUE
1698_aug;@speis_oo Besser als bei den Affen hier!;TRUE
1793_aug;Scheiß auf Merkel, mit dem Scheiß ins Gefängnis.;TRUE
1385172164140277760_aug;@CSU @Markus_Soeder Fick dich und deine dreckigen Nazi Cops. https://t.co/w3j6lZGq5U;TRUE
1295_aug;@007_bulldog @FFF_Berlin @p4fBerlin @Berlin4F Du Hurensohn Hasser deine Mutter existiert als 0815 Schlampe auf einer 10 Jahre alten Porno-CD, die von obdachlosen Nazis benutzt wird. Deine Mutter hatte eine Gang, die mit dieser Nazi-Schlampe hämmerte. Du Hurensohn. Komm her, wenn du etwas essen willst.;TRUE
951895724848851_aug;Das volle Pferd kann nicht einmal forsa richtig schreiben. Ist wahrscheinlich ein Mangel an allgemeiner Bildung eines Kerns Deutsch;TRUE
1788_aug;„Angela Merkel wird in die Geschichte eingehen als Kanzlerin, die den offenen Hass auf die Juden in Deutschland wieder möglich gemacht hat. Sie hat die deutschen Juden verraten und verkauft.;TRUE
945842575454166_aug;Nun, wenn ich mir die beiden ökologischen Aufnahmen auf dem Foto so sehr ansehe, kann man davon ausgehen, dass sie auf das rot/grün/linke Faschistische Spektrum zurückzuführen sind! ! ! !;TRUE
982693915102365_aug;Ramon De la Perez....believe me!!! ALLE Profile der Idioten, die noch wie du diskutieren, habe ich gerettet! Sollte einem meiner Kinder, meiner Familie oder Freunden etwas passieren... dann wird sich dein Gebetsteppich öffnen! Bei psychischer Krankheit, wie sie bei dir gegenwärtig ist, werde ich dann keine Rücksicht mehr nehmen, versprochen!!;TRUE
280_aug;@AfDBerlin @krippmarie @SawsanChebli @SawsanChebli ..waren Sie nicht mit Sprache beschäftigt.-und Schreibverbot ..?;TRUE
982694885102268_aug;Hoffentlich werden Frau Merkel und die hirnlosen Helfer aus München sehen, was sie getan haben!!!! HIRNLOS! kann nicht weiter denken und dann den Mund aufreißen!;TRUE
856749144363510_aug;Nun, wenn du so dumm bist und dich in so ein Rudel einmischst;TRUE
856777251027366_aug;Stefan Helke, wenn es möglich wäre, würdest du Stalin klonen, das war ein Krimineller, den du Dummkopf verlassen hast.;TRUE
1056710044367418_aug;Peter Gohs du hässlicher Wichser, noch so ein Zauberspruch, und du solltest dann Angst vor mir haben, verpiss dich????;TRUE
1134086349963120_aug;Wie lächerlich ist diese Frau?;TRUE
