id;description;dbo
criticism_aug_1;natürlich kann man jetzt sagen lass den bund noch mehr schulden machen lass die ezb noch mehr geld drucken und dieses geld verteilen wir dann in den kommunen und die bauen dann neue flüchtlingsunterkünfte nur kein einziges unserer probleme wird dadurch ursächlich gelöst kein einziges im;criticism
criticism_aug_2;dass sie nicht von nachhaltigkeit geprägt sei brandenburg mein heimatland ist schlusslicht bei allen wachstumsprognosen da haben sie zehn jahre mitregiert sie beklagen in ihrem antrag einen großen niedriglohnsektor in thüringen arbeitet ein drittel der beschäftigten im niedriglohnsektor da regieren sie seit zweitausendvierzehn was sie beklagen haben sie selber mit zu verantworten;criticism
criticism_aug_3;aber die innenministerin verweigert die registrierung ausdruecklich so werden im schatten einer echten fluechtlingskrise unberechtigte hierhergelockt ideal um die statistiken ueber illegale migranten zu bereinigen indem man sie im breiten strom einer echten humanitaeren zuwanderung die unregistriert laeuft untertauchen laesst meine damen und herren zweitausendfuenfzehn war kein kontrollverlust es war eine bewusste kontrollverweigerung und jetzt droht sie sich zu wiederholen haben sie denn nichts;criticism
criticism_aug_4;es ist gute tradition dass der deutsche wirtschaftsminister auch international ein türöffner für die deutsche wirtschaft ist ich erhoffe mir sehr dass sie auch diese aufgabe wahrnehmen vielen dank;criticism
criticism_aug_5;in kauf nehmen die es braucht um dieses marktversagen auszugleichen dann wird uns das viel muehe kosten es wird uns viel muehe kosten tausende arbeitskraefte anzuwerben es ist aber kein dank wenn wir im herbst sagen tschuess und zurueck wenn diese menschen sich dafuer entscheiden hier bleiben und hier arbeiten zu wollen;criticism
criticism_aug_6;dass deutschland so unattraktiv und schlecht wird dass dadurch eigentlich nur die afd gestärkt wird bitte gehen sie in sich erliegen sie nicht der gefahr dieses land auf eine art und weise zu gestalten dass wir unattraktiv für menschen aus dem ausland werden die wir hierhinholen wollen und für menschen die schon da sind denen wir ein chancen aufenthaltsrecht geben wollen meine damen;criticism
criticism_aug_7;meine damen und herren wir muessen jetzt handeln statt wieder einmal mit freiheitseinschraenkungen behandelt zu werden ich moechte sie liebe kolleginnen und kollegen herzlich einladen auf diesem interfraktionellen weg mitzuarbeiten;criticism
criticism_aug_8;soll ich sage nur soviel aus deutschland sind über eintausend menschen privilegierte menschen haben ein schönes privilegiertes leben hinter sich gelassen hier aus der bundesrepublik deutschland behütet aufgewachsen um sich da drüben einer terrororganisation einer terrormiliz anzuschließen um unschuldige menschen aufgrund ihres glaubens abzuschlachten;criticism
criticism_aug_9;um entschuldigung mit ihrem antrag haben sie auch mal wieder in die garderobe gegriffen und einen deckmantel mitgebracht denn unter dem deckmantel der bekämpfung von sogenannter clankriminalität werden gezielt vorurteile gegen bestimmte bevölkerungsgruppen geschürt das alles dient mal wieder nur ihrem einzigen bösartigen zweck der verbreitung eines rassistischen zerrbildes von kriminellen ausländern und damit ihrer perfiden politischen agenda von hass und hetze zum;criticism
criticism_aug_10;lügen pleiten pech und pannen und ein wirtschaftlich totes land das ist ihre bilanz gerhard schröder hatte recht sie frau merkel können es einfach nicht treten sie zurück und zum schluss eine bitte an die wähler wahnsinn ist es immer das gleiche zu wählen und eine bessere politik zu erwarten wählen sie alternativ solange sie noch können und dürfen vielen dank;criticism
criticism_aug_11;sprechen dazu passt dass sie die hürden für die anerkennung von berufsabschlüssen senken wollen das ist nichts anderes als ein senken der qualifikation sie wollen die gleichwertigkeit der berufsabschlüsse wie sie im fachkräfteeinwanderungsgesetz steht schleifen das ist nicht sozial weil es unfairen wettbewerb um die arbeitsplätze bedeutet und weil geringere qualifikation ein höheres risiko für die einwanderung in die sozialsysteme bedeutet bei fachkräften geht;criticism
criticism_aug_12;wir werden auch im osten dieser verantwortung gerecht;criticism
criticism_aug_13;solche rechtfertigungsgründe kann ich für eine begrenzung von amts und mandatszeiten;criticism
criticism_aug_14;ich finde dieses argument was mehrfach gesagt wurde was gerichte selber gesagt haben wie auch schon ganz früher ovg schleswig das;criticism
criticism_aug_15;keine ausnahme gegeben im zweiten bereich wird es aus meiner sicht schwieriger da handelt es sich um eine altbekannte liste die gibt es schon eine ganze weile da ist bisher auch nichts passiert das heißt ich als staatsanwältin müsste mir überlegen wie ich begründen kann dass nunmehr diese vermutung die durch das bisherige nichtspassieren eigentlich gegeben ist dass das alles wohl nicht geeignet ist jemanden zu einer straftat zu;criticism
criticism_aug_16;who run the world girls wir wollen nicht einfach nur respekt wir wollen auch nicht einfach nur am tisch sitzen wir wollen die welt regieren ja ich weiß wenn frauen solche ansprüche hier oder woanders stellen macht das im jahr zweitausendzweiundzwanzig noch vielen menschen angst bei manchen löst diese anspruchshaltung gar unbändigen hass aus deshalb bin ich sehr froh dass wir mit dieser neuen bundesregierung mit dieser neuen koalition ihnen allen zeigen können dass es dafür nicht den geringsten grund gibt;criticism
criticism_aug_17;und das sollte auch fuer sie gelten liebe kolleginnen und kollegen wenn eine sozialdemokratin also in einer antifaschistischen zeitung ueber die bedrohung des nsu zwei punkt null schreibt und das skandalisiert wird dann frage ich mich wirklich wo hier das problem liegt;criticism
criticism_aug_18;noch nie hat die afd den rechtsextremismus in ihren eigenen reihen hier thematisiert geschweige denn einen aktionsplan vorgelegt wie sie den fuer den linksextremismus vorlegt sprechen sie doch lieber ueber die extremismusform von der sie etwas verstehen da gibt es naemlich eine menge zu tun wie die aktuellen zahlen der politisch motivierten kriminalitaet zeigen rechte straftaten machen ueber die haelfte aller delikte aus;criticism
criticism_aug_19;das ist die gleiche regierung das ist die sache dass diese regierung komplett das vertrauen der bevölkerung auch das vertrauen von uns verloren hat deswegen stimmen wir keinem antrag dieser regierung mehr zu es ist zeit für eine vertrauensfrage hier im parlament vielen dank herr;criticism
criticism_aug_20;noch eine anmerkung werte frau merkel machen sie in anbetracht des von ihnen angerichteten chaos den deutschen doch ein ostergeschenk folgen sie den vorschlägen der afd der linken und der fdp und stellen sie im parlament die vertrauensfrage vielen dank für ihre aufmerksamkeit;criticism
criticism_aug_21;der eltern würden einen pflicht der schüler befürworten fünfundfünfzig prozent sind dagegen es gibt einzelne petitionen die jetzt dagegen vorgehen wollen das macht natürlich auch mal medienrummel ich denke nicht dass es im moment;criticism
criticism_aug_22;nur da ist es aber doch gerade die spd da sind es doch gerade die grünen die;criticism
criticism_aug_23;das sind die spd bündnis neunzig die grünen und die fdp wer stimmt dagegen;criticism
criticism_aug_24;das sind spd bündnis neunzig die grünen cdu csu und fdp wer stimmt dagegen das sind die afd und die linke entsprechend keine enthaltungen;criticism
