id;description;c2a
857939500911141_aug;Ansehen Pflicht! https://www.youtube.com/watch?x-yt-ts=1422327029&v=90jcFnRYQRw&x-yt-cl=84838260;TRUE
856809041024187_aug;Gib doch jetzt beim YouTube: Wie werde hab entwachsen ein...;TRUE
1052455528126203_aug;Aber deren Fragen sachlich. beantworten und Gegenfragen stellen,die sie auch beantwortet müssen.;TRUE
856794367692321_aug;Es ist Da schon schlimm nicht.Das dann ihm aufs benennen. muss. Aber wenn ein Volk seine Wehrte hinlegt ( Ablegen müssen . wäre es fürs man kreuze in den Schulen abhängt kein Schweinefleisch ausgibst oder ähnliches Im Ich darf noch in 10 Jahren mit seiner Tochte Sankt michael gefeiert und nicht Lichterspektakel Ich will noch stolz auf deine gründenden Werkes im meiner Welt.Es sein.Das dürfen gewesen es Technik oder Popgeschichte Es Ich will weiterhin jedes mein kind allerdings im Kindergarten alles essen darf Das gehöhrt z.b auch So unseren Anteilsinhabern Natürlich da Es gehört zu meiner Traditionen das dann immer auch unsere Freiheit stehen sei es .Im Widerstand gegen Hitler oder 89 gegen ein Rotes Terror Regime Tja genau deswegen sollte man gegen religiöse Progressivität gegen Deutschhass und für unsre Traditionsverbundenheit kämpfen.Die damit sie erhalten bleiben .;TRUE
1012268532144903_aug;ist.Man sitzt nicht Da hypnotisiert wie irgendein Kaninchen das zusieht Genauso einer Menschenschlange auf es So Kriecht und hierbei ängstliche sitz bleibt. Man greift welche Menschenschlangen am wie selbst.Ein Mungo und beißt schließlich 26721;TRUE
856833594355065_aug;"so beziehungsweise nämlich werde ich mich erstmal aus ""Wessi"" zu wort melden. klar hatten es uns schwer getroffen sowie nu wir haben geschimpft genauso wie die ""Ossis!"" auf uns geschimpft haben. aber jetzt haben möchten Einen punkt in deutschland erreicht ob das auch schon vergesse sein kann. jetzt müssen wir eben mal zusammenhalten. ich kann das ost-west-gejammer mega nicht wenig hören.";TRUE
857769424261482_aug;Herr Peterse auch.Bei dem oben erwähnten Artikel muss also nicht auf Schattierungen achten. Der ist einfach nur Mist. Kaufen Sie sich lieber einen Aluhut, der schützt.;TRUE
876337195738038_aug;Wir brauchen keien Fachkräfte aus zum Ausland wollen brauchen Einen Staat der uns Jungendliche So Fachkräften macht.Auch ...;TRUE
1012947245410365_aug;Besonders die LKW-Fahrer haben nix zu lachen. kann.Man sollte sich überlegen, inwieweit man nicht Herdenschutzhunde hinder meinen Ladeklappen positioniert. Das brächte Lernerfolges;TRUE
857970520908039_aug;LIKE THIS 20171Mi2Do3Fr4Sa5So6Mo7Di8Mi9Do10Fr11Sa12So13Mo14Di15Mi16Do17Fr18Sa19So20Mo21Di22Mi23Do24Fr25Sa26So27Mo28Di29Mi30DoTäglich SMASH CULTURAL MARXISM!!!!!!! https://m.facebook.com/SmashCulturalMarxism;TRUE
972358162802607_aug;auch gegenseitig .Zu helfen oder zu verstehe bekommt er in dieser welt durch euch nicht mehr,leider!und klag mich doch wen ich unrecht hab zwar doch zwischen gesicht!;TRUE
861966260508465_aug;Neuanfang!!!! JETZT!!!!PEGIDA lebt!!!!;TRUE
1095996283772127_aug;anzünden ist Gut !!! da einsparen wir Euch die Arbeit und Geld !!!;TRUE
855046137867144_aug;Du hast aber aufgepasst junger Freund.Erst nachlesen dann rumlabern.Aber du wolltest eh fürs Bett.Schlaf gut.;TRUE
1095902737114815_aug;Ran mit Maschinengewehr Gleichzeitig dann sollstemal sehen wie schnell die Strasse offen ist. spaetestens bei keinen letzten sechs erschossenen rennen die anderen los. Deswegen haette da allzugroßes Mitleid zwischen solchen Ratten ebendiese nur kommen 09 sich aushalten zu läßt und auch auch ganz frech nichts fordern. Dieses Pack brauch man ziemlich wenig beispielsweise Die blaue Beulenpest;TRUE
