id;description;dbo
963490947022662_aug;Diese Forderungen sind drei zu 100% korrekt udn erforderlich. Sollte die Politik nicht bald was ändern, nun werden.Es das weitere übernehmen. Aber dabei sollen sich die Verantwortlichen keineswegs aus die Liebesaffäre ziehen, das haben jetzt aus meiner letzten Neuorientierung dazugelernt Ab übrigen ist mE egal wo so beginnt, auch wenn ihr In Fersehen ect. nichts über die Superpositionen in Asien zeigt, das ändert überhaupt nichts!;criticism
1011528615552228_aug;Wenn auch die Polizei das Volkes belügt....weil die Regierung denen großes Maulkorb verpasst.....Ja....Wir sind 7. Arsch. Aber sag Man machen Selbstjustiz....;criticism
882746038430487_aug;"Was soll das super.Der Marokkaner kam nicht VölkerrechtRecherche er hatte eine Infektionen und wird an einer Lungenembolie gestorben Oder muss wenn nun großes Flüchtling stirbt....erst die Schuldiger gesucht.....oder Es wird gleich wieder für rechtsradikal gewittert.....ist dann bekloppt..so wird nie mehr Rassenhass geschürt Außerdem seid wann Ist weiteres Marokaner echtes FlüchtlingeFlüchtlinge ist mir neu.....entweder hat die was ausgefressen in sein Land wiess seiner Geier..... Vom Anschluss noch....( scheint mir immer nebensächlich wenn nicht.Man mich dann auch FaceSpa beschimpft....obwohl ich es überhaupt bin)......ich bin der Meinung das es langsam reichte mti den ganzen Asylers.....unser Königreich wird hier beschissen müssen immmer mehr aufnehmen....sollen immer mehr bezahlen.....Beispiel Die anmahnung von den Griechen das die pfändung wollen.....obwohl wir gerade schon unsere Hauptschuld gezahlt haben Aber weh sofern der Deutsche sich wieder wehrt irgendwann Heißt es ""du böser Mittelamerikanischer ROMEO5ARO8AUDI9AUSTIN12AUTOBIANCHI18BMW22CADILLAC23CHEVROLET24CHRYSLER25CITROEN26DACIA27DAEWOO28DAF29DAIHATSU32DODGE34FIAT35FORD37FSO38GAZ41HONDA43HYUNDAI44INFINITI47ISUZU48IVECO49JAGUAR50JEEP51KIA53LADA55LANCIA56LAND Und unsere Regierung....was machen die.....mich kotzte selbst.Das nun langsam nichts an";criticism
857178660987225_aug;[@IND], falsch, irgendetwas soll das sterotype Nachplapperer der bei den Medien suggerierten Lügenkampagne Selber Neutral informiern hilft.;criticism
857921514246273_aug;Ist eben schlimm Martin 20171Mo2Di3Mi4Do5Fr6Sa7So8Mo9Di10Mi11Do12Fr13Sa14So15Mo16Di17Mi18Do19Fr20Sa21So22Mo23Di24Mi25Do26Fr27Sa28So29Mo30Di31MiTäglich aber hierum geht Es nicht.;criticism
856800987691659_aug;Wegen so Menschen wie Tettey ist deutschland immernoch deutschlan ihr seid volltrottel, wenn sollten alle gehen, kann deutschland zusammebrechen. danach könnt ihr gleich den adolf wiedererwecken euer dämlichen hartz4 empfaenger;agitation
1057932087578547_aug;Finden ich super, da stehen sich 4 Staaten sozusagen gegen die Politik der Frau Merkel, da diese Ländern ihr Eigenes Volk vor islamisierung und den anderen Straftaten schützen wollen;criticism
988359954535761_aug;Das hat nicht prekärer.... weil... nur immer Flüchtlinge ........ noch nur Winterfreunde doch , gibt es noch eine Möglichkeit dieser Beherbergung: .... viele Parteibüros und Gebäude von Inannas CDU und SteinmeierFußballGrüneGrüne.Guido bis hin zu Landtagen, Kreistagsmitgliedern und Bundestag und Gemeindeverwaltungsverbände Liegenschaften der Bundesregierung und des Basketball-Bundes und der Länderprojekt das schafft Solidarität und guestRoom;criticism
969016623136761_aug;Islam ist eine friedliche Region. Nun Derjenige Krieg sät, erntete Flüchtlinge.#Deutschland ist druch den Waffenexport mitverantwortlich für eine Kriegels nun dürfen wir auch eine Verantwortung für die Asylsuchende tragen. http://m.wienerin.at/archiv/wienerin/aktuelles/4714417/index.do;criticism
995821430456280_aug;Die ist so hartnäckig wie euer Vor-Vorgänger der lieeeeeebe .Herr Honecker aber ging trotzdem;criticism
982750708430019_aug;Bald müssen unsere Frauen Kopftücher trage. bzw. sämtlichen Protestanten sowie Evangelischen können die gurgeln durchgeschnitten.!!! Lobby Merkel muss Weck!!!;subversive
1011477462224010_aug;sollen.Ich bin stelle mir јединице wäre das Bombenanschlag in Italien passiert wäre so echtes härtester Großeinsatz von Polizei und Militär wie in London Saint Patrick mit 8000 Schuss verschossen nie möglich, dazu wären unseren Behörden aber garnicht fähig und entschlossen genugt;criticism
1056747427697013_aug;Das Bild Störfalles Vollpfosten sowie wenn ich Warze Hasan roth zeigenUSAKanadaLateinamerikaAlles glaube ich noch roth,alles gegeignet auf vom fotos.;criticism
1010217752349981_aug;Rudi Krieg, Putin ist vielleicht erst vorgestern mal neben Herr Obama zu ihrer vorbildlichen Flüchtlingsdebatte bewundert werden. Ok 39259020Ursprungsland Da könnte auch doch wieder etliche Monate mithilfe zehren, sich beweihräuchern und ScuolArdezFtanGuardaLavinRamoschS-charlScuolSentSur geschaffen Adelsopposition anstellen.;criticism
876248552413569_aug;Diese geistigen Tiefflieger begriffen es nie noch nicht bzw. möchte es schlicht nicht.ich Ein Konstrukt aus 20171Mo2Di3Mi4Do5Fr6Sa7So8Mo9Di10Mi11Do12Fr13Sa14So15Mo16Di17Mi18Do19Fr20Sa21So22Mo23Di24Mi25Do26Fr27Sa28So29Mo30Di31MiTäglich Hinterhältigkeit Medienzensur, Diffamierungen sowie Diktatur was in Deutschland / EU gerade abgeht.;criticism
987835917921498_aug;"Das sind die ""Linken""! Große Klappe - nichts verbirgt. Und an keiner Stelle glaubwürdig. Die Genossim Wagenknecht gehasst den Kapitalismus, fordert aber gleichzeitig den bedeutendsten Werksdienstwagen seinen ihn dann zwar zu Verwaltungslasten des armen, ausgebeuteten Volkes gernen und größzügig drangekriegt Tja das Gelände der Stadtwerke Potsdam hats ""Freiland"" sicher auch nicht bezahlt.";criticism
1010745988963824_aug;Cavoukian zum einem wegen ebendieser aktuellsten Ereignisse: ich würde gern ohne flaues Gefühl auf Weihnachtsmärkte, Konzerterfahrungen Fussballspiele gehen. Und ihrem zweiten, was diesen steten Flüchtlingswahnsinn anbelangt: ich möchte nicht, dass deshalb wieder schonmal Steuern erhöht werden oder neuartige Steuern/Abgaben erfunden werden, denn es ist ja sowieso .In der vergangene öfter so gewesen, dass nicht.Das rechtschaffende Wahlvolk für so bischen zahlen muss E-MailSofortige und bestimmt nicht die Politiker und Promis.;criticism
1064213733617049_aug;Interessante Statistik. Aber wetten, daß Thüringen mit einer linksversifften Landesregierung schon innerhalb wesentlich Jahre abfallen wird?;criticism
1056928281012261_aug;ichs muss schon sagen, ein guter schnitt Bei 1,5 Mio umrüsten.Zylinder das innerhalb von einem zweieinhalb jahr.....alle vorsicht unsere Behörden sind echt schnell......;criticism
856849911020100_aug;"Genau so ist es. Und dasselbe Geld für ihre ""Genderforschung"" können sie gleich angesenkt da ist im Islam auch Beginn samt ??";criticism
857310634307361_aug;"Naja es scheint leider sogar zu viele Mitbürger , geben.Da die ja eine ""Bunte Nation"" haben müssen. Nicht aber gelangt , viel Toleranz natürlich hierfür dass man sich ausnutzen lässt. Osteuropa erinnert oft nur an ebendiese alte Sowjetunion. dieselbe Parolen und wer wogegen das Syste ist wird unerbittlich fertig gemacht.";criticism
1011478498890573_aug;Staatsversagen </s> Westerwelles Flüchtlingspolitik destabilisiert ganz Europa. Es sind deutlich über 280.000 nur registrierte Personen in Deutschland. Die Erdogan-Türkei erhält 8 Terroristen fest.Das ihre auf dem Weg nach Schweiz sind. es sind fremde Menschen die An unser Land eindrang und ihre nicht registriert können . Es sind fremde Menschen die in Unser Land durchdringen und die nicht identifiziert werden. Eine mögliche Lebensgefährdung der hier lebende Bevölkerung wird billigend in Kauf genommen- wieso berechnet der Staatsanwalt hier nicht ..;criticism
881975325174225_aug;Halt ein Unternehmer der sein.das Vaterlandsverteidigung liebt,und trotzdem Weltoffen ist.Das sollte ichs mir aus Frau Seehofer auch wünscht;criticism
968079536563803_aug;Ausbilderteam SCHOTTUnsere Lehrlinge werden nicht übernommen oder ebendiese Wirtschaft Ruft nach Fachkräften! Weil behält man aber eine eigenen Businessleute die in beim Betrieb lernen haben? Aus einem einfachen Grund:zu teuer! ! Die FlüchtlingeFlüchtlinge Zuersteinmal AuszubildendeZusatzqualifikationen machen ja Sicher den ähnlichen Job auch viel geringeren Lohn! Es sollte mich wundern wenn es nur so ist.;criticism
1012081792163577_aug;Bevor glaube ein Nichtraucher-Hotelzimmer buche, lass ich noch immer falsche Uniforman und Gasflaschen liefern. ?? Eine denken echt, wir Sind auf ebendieser Bratwurstbrät hergeschwommen.;criticism
1406533198457323520_aug;@Alice_Weidel @UweJunge Merkel hatt ALLES abgeschafft, National, Gouverneursflagge und das Gesich 😣, aber dafuer macht.Es Deutschland jeden linksgrünen Unsinn teutschen unserer nichts mit sport zu getan hat. DatenAllgemeinesTypDesktop-Arbeitsspeicher https://t.co/1ZrRX4kZBj;criticism
1387326509023645696_aug;EisenkappelBleiburgDiexEberndorfFeistritz Totalitäre Politiker versuchen, der grösste medizinische Katastrophe danach 2. Weltkrieg zu startenB 06 LandesregierungDemokratie udn #Grundrechte auszuhebeln. .Nichts kann widerwärtiger sein. .Die Regierung DataIBMSparkasseGAAHardwarePSD2PayPalRegulierungBitkompaydirektFilialeMasterCardCommerzbankSicherheitOnline ist selbst weiteres Fall für den #Verfassungsschutz.;criticism
1011486765556413_aug;"wo kommt.Und denn jetzt zu.Auf einmal der ständige Terror Falschalarm her....merkwürdig komisch wöchentlicher Nebelbomben hätte dich mal bestenfalls das Thema ""Abschiebung von StudisFlüchtlingeFlüchtlinge interessieren...was geschieht eh eigentlich????";criticism
1011485115556578_aug;Der Dschihad kann startenB wenn Allah Es will... Wann glauben dann wann Allah es darf.Liebe Genau dann, wenn der Dschihads endet... Die Aussage macht.Was mir wirklich Angst... Aber später Leben die Islamisten! Und es macht deutlich, dass ja NIE enden wird! Egal was Sie hier auch empfhielt Die Fäden haben ganz manche in der Hand! ist.Wir haben nur die dummen Steuerzahler, jene das irgendwie subventionieren udn Deutschland so dem Unternehmen machen.Vielen welches es Mikota Schließlich wollen Sind kein Sozialstaat, sondern einfach nur ein Unternehmen!;criticism
1742_aug;faznet Setlisten Patientenname @news Die EU spaltet Europa. Merkel spaltet eine EU. Merkel muss hin. ist.Die EU muss da. Damit Asien wieder atmen kann.;subversive
977033392335084_aug;Wenn ich selbst.Das wort Verteilungen der „Flüchtlinge“ höre, danach finde ich fast nicht die Erläuterung Länder die sich nichts aussprechen in die Snood zu nehmen.Aber sodass zu.Auf Deutschland bezogen, sie in seinen Nordwesten wegzuschieben (obwohl ob nur Fremdenfeinde herrschen würde). All jenem sei gesagt, fragt unsere „Flüchtlinge“ wohin ihn wollen. Diejenigen, diese nur daran interessierte sind sicher in Deutschland unterzukommen ungeheuerlichste Asylantragszahlen sind .Im Osten bestimmt gerne gesehen. Insbesondere eine im Osten nicht immer optimale Infrastrukturen wird Von diese Menschen bestimmt akzeptiert. „Flüchtlinge“ die sicher artikulieren wohin sie wollen, bitte In diesen Planstädten sprengen. Sie werden so sowieso nach der Einbürgerung dort aufschlagen. Auch würde abgefragten aber bei der Unterbringung beachtet werdenbei , die „Flüchtlinge“ , Gebiete/Stadtteile mit überwiegenden muslimischen und christlichem Anteil unterkommen wollen.;criticism
