id;description;c2a
857939500911141_aug;Ansehen Schuldigkeit ! https://www.youtube.com/watch?x-yt-ts=1422327029&v=90jcFnRYQRw&x-yt-cl=84838260;True
856809041024187_aug;Gib doch mal bei YouTube : Wie werde ich erwachsen ein ...;True
1052455528126203_aug;Und deren Fragen sachlich etwas sagen zu und Gegenfragen einkassieren , die sie auch antworten sollen .;True
856794367692321_aug;"Es ist ja schon schlimm das man ihnen das benamsen Zwang . 
 Aber wenn ein Bevölkerung seine Wehrte ablegt ( Ablegen muss ) sei es das man kreuze in den Schulen abhängt kein Schweinefleisch ausgibt oder ähnliches . 

 Ich will noch in 10 Jahren mit meiner Tochterfirma Sankt martin ins Glas schauen und nicht Lichterfest . 
 Ich will weiter stolz auf unsere schaffenden Schaffen in der Welt sein dürfen sei es Trick 17 oder historische Musikwissenschaft . 
 Ich will weiterhin das mein Heranwachsender auch im Kindergarten alles zu Tisch sein darf 
 Das gehört z.b auch zu unseren Freiheitswehrten . 
 Und ja es gehört zu unserer Gepflogenheit das wir immer für die Independenz standen sei es im Widerstand gegen Hitler oder 89 gegen ein Rotes Tyrannei Regierungsform 
 Und genau deswegen muss man gegen religiöse Radikalität gegen Deutschhass und für unsere Gepflogenheit sich nicht ins Bockshorn jagen lassen damit sie wahren herumstehen .";True
1012268532144903_aug;Man sitzt nicht da hypnotisiert wie ein Karnickel das zusieht wie eine Warteschlange auf es zu kriecht und dabei ängstliche im Gefängnis sein bleibt . Man greift die Reihe an wie ein Mungo und beißt sie Tot !;True
856833594355065_aug;"so und nun möchte ich mich mal aus "" Wessi "" zu Wort melden . klar hat es uns schwer getroffen und ja wir haben geschimpft genauso wie die "" Ossis ! "" auf uns geschimpft haben . aber jetzt haben wir einen Thema in deutschland erreicht wo das auch mal verabsäumen sein Zwang . jetzt müssen wir einfach mal zu jemandem halten . ich kann dieses ost-west-gejammer echt nicht mehr man erzählt sich, dass .";True
857769424261482_aug;Regent Donath , bei dem oben erwähnten Textabschnitt muss man nicht auf Zwischentöne berücksichtigen . Der ist einfach nur Dung . kaufen Sie sich lieber einen Aluminiumhut , der schützt .;True
876337195738038_aug;Wir benötigen keine Fachkräfte aus dem Ausland wir brauchen Einen Staat der uns Kid zu Fachkräften macht ...;True
1012947245410365_aug;Besonders die Lastwagenfahrer haben nix zu kichern . Man sollte sich sinnieren , ob man nicht Schutzhunde hinder den Ladeklappen positioniert .   Das brächte Lernerfolg .;True
857970520908039_aug;"LIKE THIS PAGE ! ! ! ! ! SMASH CULTURAL MARXISM ! ! ! ! ! ! ! 

 https://m.facebook.com/SmashCulturalMarxism";True
972358162802607_aug;sich gegenseitig zu mit anfassen und zu durchsteigen gibt es in dieser Terra durch euch nicht mehr , leider ! und verklag mich doch wen ich Unrecht habe aber bitte mit Antlitz !;True
861966260508465_aug;Wiederanfang ! ! ! ! JETZT!!!!PEGIDA lebt ! ! ! !;True
1095996283772127_aug;entfachen ist Gut ! ! ! da sparen wir uns die Leistungsnachweis und Moos ! ! !;True
855046137867144_aug;Du hast nicht aufgepasst junger Kumpel . Erst nachlesen dann rumlabern . Aber Du wolltest eh ins Koje . Schlaf gut .;True
1095902737114815_aug;Ran mit   Maschinengewehr und dann sollstemal einpreisen wie schnell die Straße offen ist . spaetestens bei den ersten drei erschossenen laufen die anderen los . Ich haette da garkein Beileid mit solchen Ratten die nur anwackeln um sich ausstehen zu legalisieren und auch noch ganz frech was postulieren . Dieses Pöbel braucht man genauso wenig wie die schwarze Gottgeißel .;True
1096049613766794_aug;Das habe ich bereits gemacht und gute Wissen damit gemacht es sind auch sehr nette hilfsbereite Volk dabei ( einfach ein normales Bewohner wie wir auch ! ) ! naja das kommt mir einfach vor und hört sich so gut an das sie ihr eigenes Land aufbauen sollen . Aber wen sollen sie Unterstützen das es zu einer guten Abtrennung kommt ? es gibt dort so viele Kriegsparteien das da normale Verehrtester einfach irgendwo dazwischen stillstehen würden und keine günstige Gelegenheit hätten . Also lasst uns Lieber eine vernünftige Abtrennung suchen mit der alle irdisches Dasein / über den Berg kommen können .   P.s . in jedem bewaffneter Konflikt gibt es Kriegsflüchtlinge das ist normal es ist nur die Punkt wie man damit umgeht . Achso die Rückstände der Flüchtlinge sind in erster Leitlinie hausen / über den Berg kommen und das kann man doch gewährleisten ! !;True
1112439138794508_aug;Vollkommen Richtig ! Und der nächste Schritt ist alle in einen Durchzug und ab zurück in ihre Vaterland ! ! Den daß ist unser Grund und Boden Deutschland ! Wachdienst endlich auf ! !;True
882748951763529_aug;Also wirklich . Mit solchen Aussage schiebt ihr euch selbst in die Rassistische Hassecke . Wer sowas schreibt ist nicht besser . Das traurige ist , dass eure unüberlegten Begleitmusik dann wieder auf Pegida verallgemeinert wird . Das ist scheiße ! Ich bin für Demonstrationen aber so schiebt ihr euch selbst in der Gemeinwesen ins aus ! Pegida steht für gewaltfrei ! Euer Gedankengut vertritt nicht diesen Anspruch . Vielleicht sollte einige wirklich nachsinnen ob sie bei Pegida mitlaufen sollten .;True
857177734320651_aug;Wake up germans , the international puppetplayers never sleeps ! Best regards !;True
951884651516625_aug;Norbert keine CDU keine SPD keine grünen und keine FDP . Wenn afd nicht Konzession ist , geb einen leeren Kette ab . Damit beweist du , dass du voten gehst ... Und für Demokratie bist;True
857874544250970_aug;Griechenland ist Ausgangspunkt der Zivilisation . Als die Deutsche Rohfleisch gefressen haben gab es schon Parlamentarismus in Griechenland . Es schadet nicht die Bücher zu enträtseln statt nur in Gasthof zu hocken und sich die Hucke vollsaufen .;True
1107927955912293_aug;verhungern lassen zulassen ! ! ! !;True
857032747668483_aug;"+ + + An   die ADMINS ! Ihr habt bei eurem Hashtag hier auf facebook einen   Buchstaben vergessenin eurem obersten Beitrag ! ! ! ! Ihr habt bei DRESDENZEIGTWIEESGEHT das DOPPEL "" Elastizitätskoeffizient ""   nicht gemacht ! Bitte ändern ! + + +";True
856732124365212_aug;Gute Themen aber auf die Islamisierung muss mehr eingegangen werden das nächste Fleck . Das Problem ist ja nicht von heut auf morgen verschwunden und sollte stets das Hauptthema weilen .;True
856742914364133_aug;""" Protestaktionen der Anständigen "" 
 Ich fordere auch einen "" Massenaufstand der Anständigen "" gegen immer noch andauernden Kriegszustand und Crew unserer Deutschen Heimatland . Hierbei stütze ich mich auf jüngste Aussagen einzelner mutige Bundestagsabgeordnete . 

 Hierfür klappen auch viele der montäglichen PEGIDA-Spaziergänger . Grundsätzlich sind Ausländerin und Andersgläubige nicht das Anliegen , wir Deutsche sind in jedem anderen Grund ebenfalls Fremdling und freuen uns über gastfreundliche Empfang . Deshalb ist PEGIDA der falsche Perspektive und bietet der Exekutive zuviele Entwicklungsmöglichkeiten die generelle Enttäuschung der Volk schlechtzureden . 

 Wenn ihr wirklich etwas zum Wohl des Deutschen Volkes agieren wollt schließt Euch PEGADA an , die abdampfen das Gemeinheit von der Radix her an . 

 Deshalb Mahnwachen , PEGIDA-Anhänger und alle anderen , die aus dem Deutschen Staatsfragment wieder eine Deutsche Geburtsland für Deutsche Familien und deren Gäste anlegen wollen , seht Euch die offene Rechnungen der PEGADA an : 

 http://www.pegada.qpx24.com / 

 www.Facebook.com/Buergerplattform 

 Postskriptum . : Für die PEGIDA-Organisation : macht aus dem I ein A und wir funktionieren schon im Monat des Frühlingsbeginns mit 200 000 Leute und haben im Frühsommer 2015 eine vom Deutschen Bevölkerung gewählte Volksregierung die ihren Image verdient ! Gemeinsam übernimmt das Deutsche Bevölkerung in der Deutschen Heimatland die Herrschaft in ihrer freiheitlich demokratischen Grundordnung ! 

 www.Facebook.com/Buergerplattform";True
