id;description;def
True_aug_1;Dieser Sozenhaufen hat sich schon so lächerlich gemacht,dass es mir völlig wumpe ist,wer diesen Haufen zukünftig führt,und was aus diesem Veein wird.;True
True_aug_2;selbstgemachter hohler undurchdachter rumstippel - behafteter eigens provozierter niedergang durch rathausbesatzung ist das - ohne hiobs .;True
True_aug_3;Beide Seiten sind bestehend aus dummen, alt-idiologischen Maden die nichts anderes als Macht im Kopf haben.;True
True_aug_4;"Um es mit den Worten meiner Oma zu sagen: ""So dumm, dass ihn die Schweine beißen!""";True
True_aug_5;Du fetter Hurensohn hahahahahahahahah du machst fake leak aber beim echten einfach fetter Hurensohn kanake der stinkende Eier hat;True
True_aug_6;Dikka du hurensohn Hater deine Mutter ficke ich im Schlaf wenn ich nachts von einem Nachtisch träume wie ich den mit deiner fetten Mutter auf ihrem Balkon fresse.;True
True_aug_7;Die hässliche Fratze die wir schon von den Querdenken kennen.. hetzen und Lügen um von den geistig flachen Geld sammeln zu können.;True
True_aug_8;So kann man das Gebaren dieser faschistoiden, gegen Fakten immunen Taugenichtse natürlich auch bezeichnen - wenn man genauso dämlich ist wie sie.;True
True_aug_9;Unfähigkeit pur, Korruption pur, Ignoranz und Dummheit in Perfektion.;True
True_aug_10;Ich assoziiere mit PolitikerInnen wie Nahles, Barley, Söder, Seehofer, Schulz, Stegner, Merkel ... 'ganz übler Polit-Sauhaufen'.;True
True_aug_11;Jetzt können sie nächlich jedem, dessen Nase ihnen nicht passt, weil sie zu links oder nichtdeutsch aussieht ohne weiteren Grund auf den Sack gehen.;True
True_aug_12;Wenn ich dieses Nazi Gesindel sehe wie sie ihren rechten Arm zum Hitler Gruß heben wünsche ich mir jedes mal dass ihnen der Arm langsam abfault.;True
True_aug_13;Ach wer heutzutage als klardenkender Mensch, nicht von irgendwelchen dahergelaufenen Linken und Grünen als Nazi oder Rassist beschimpft wird, der lebt nicht!;True
True_aug_14;Sehe ich genauso Drecks Fotze gegen grüne oder Nazi gegen bürgerliche geht garnicht.;True
True_aug_15;Sagte der dumme Querdenker-Hildmann-Anhänger-Nazi-Trottel, der als Kind immer auf seinem Kopf gefallen ist und tragende Schäden davon getragen hat🤦‍ Geh woanders spielen, hier mag dich keiner!;True
True_aug_16;Ihr seid so armselige Versager 🤣;True
True_aug_17;shahahahah ich trete dich geistig behindert du und wenn es dich so triggerd lutsch die schwänze deiner zwei väter du bastard;True
True_aug_18;Ihr Querpfosten seid einfach nur lächerlich 🤡;True
True_aug_19;Und die alten Säcke grinsen dumm-dämlich dazu ...;True
True_aug_20;Verstehe nicht, warum man so einem degenerierten Trottel Sendezeit einräumt!?;True
True_aug_22;Wird hochnötig Zeit, dass der von ausgekippt wird und die stinkende Kloake sich über Deutschlands dümmste Wähler (die der ) ergießt ‼ Der geistige Müll ist unerträglich, den diese verbreiten.;True
True_aug_23;Sie sind verblödete Kampfmaschinen ohne Gehirn und nur zum Schutze des VerbrecherPedoBundes!!!;True
True_aug_24;„Du bist ein Arschloch“.;True
True_aug_25;Diese Heuchelei können sie sich in den Arsch stecken;True
True_aug_26;Dies sagt doch schon alles aus über diesen Schwachsinn.;True
True_aug_27;Deine hässliche Fresse und deinen geistigen Dünnschiss ist eine Beleidigung der gesamten Menschheit.;True
True_aug_28;Einen solche Dummschwätzer unterm Herren.;True
True_aug_29;Ich wurde ehrlich behindert weil ich mir das alles durchgelesen habe, ihr schreibt wie 5 jährige Autisten;True
True_aug_30;Du Hurensohn ich werde deine Mutter hart in den arsch ficken danach wirst du deine Mami haten weil sie deinen Schwanz nicht geblasen hat.;True
True_aug_31;Digga der Typ hat dich scheiss Kanalreiniger finanziert du Müllschlucker zeig mal ein bisschen Respekt oder halt die fresse ... kriege Gänsehaut vom Fremdscham deiner messages;True
True_aug_32;Ganz ehrlich, schiebt diesen Hampel(mann) endlich ab in die Türkei 🤔, dort gehört dieser Vollidiot hin.;True
True_aug_33;Dein erbärmlichen Job, dein hohler Kartoffelstolz, alle für dumm halten* die nicht pausenlos den selben infantilen AfD und co Mist nachplappern.;True
True_aug_34;Welchen dahergelaufenen Obdachlosen habt ihr dafür bezahlt so einen Hirn verbrannten Bockmist zu schreiben?;True
True_aug_35;Diese Sara ist so behindert Digga sie ist schlimmer als dieses Monster;True
True_aug_36;Wer so ein Profilbild wie sie hochlädt kann nur ein Psycho sein die ist bestimmt voll behindert;True
True_aug_37;Du bist ein richtiger deutscher Hurensohn.;True
True_aug_38;Ich spuck auf euch ekelhafte Hurensöhne;True
True_aug_39;Ihr seid so ein unglaublich peinlicher Haufen;True
True_aug_40;Ihr hartz4 Schmarotzer ihr , lasst euere künstlich erzeugte wut nicht an uns aus sondern sucht die fehler bei euch ihr minderwertigen mittel europäischen Dummschwätzer :D;True
True_aug_41;Diese Briten sind einfach dummdreist!!;True
True_aug_42;Die deutschen sind einfach das dümmste Volk auf dem Globus!;True
True_aug_43;Und dann irgendwelche scheinheiligen Entschuldigungen- ihr seid ökoterroristen;True
True_aug_44;Ihr dummen dummen Menschen#cdu;True
True_aug_45;"So verlogen sind sie, die ""Grünen"".";True
True_aug_46;Die Grünen sind für mich Faschisten im Schafspelz.;True
True_aug_47;Die Grünen sind doch krank im Kopp!;True
True_aug_48;Bin ich ein Nazi wenn ich feststelle, dass die Grünen dumm wie 10m Feldweg und hohl wie Schnittlauch sind?;True
True_aug_49;Noch nie habe ich so viel Lügner Bescheißer Kriminelle + Möchtegern-Moralisten auf einem Haufen gesehen wie beim GRÜNEN Dreck!;True
True_aug_50;Dieser Mann ist eine Schande für sein Amt!🤮;True
True_aug_51;Was für ein selbstherrlicher und überheblicher Steuerbetrüger und Ex-Knacki!;True
True_aug_52;Dieser Mann ist eine Schande für die Politik.;True
True_aug_53;Abschaum Nazis Kommunisten Betrüger Klima vergifter politischer Dreck der ganz besonderen Art!;True
True_aug_54;Es ist wirklich eine richtige Flegelei was sich dieser Rassist und Fremdenfeind und Politclown da mal wieder geleistet hat.;True
True_aug_55;Sie haetten hoechstens gestunken, wie Sie (Ihre Einstellung)!;True
