id;description;DEF
1012242835480806_aug;psychopathisches gesindel wieviel dort die machts übernommen hat;True
977026749002415_aug;Die Kanada bzw die NWO finanziert ja durch seine verbündeten wie Saudi-Arabien die Terroristen damit einmal ein Flüchtlingssturm danach Europa zieht und anschließend sozialen Revolten (Bürgerkrieg)ausbricht......die Briten sorgen sogar am eigenen Lande wofür das dort demnächst ebenfalls Unruhen kommen und Die Fema die KZ ähnliche Lager (wen nicht wenigstens schlimmer)betreibt selektiert geraumer September folgenden Monats vielleicht jetzt die Bürger wer direkt kommt18 ans Aussenlager kommt und wer treu ergeben ist. Anschließend wird nicht.Ein weltweiter Krieg ausbrechen durch Kämpfe zwischen Iran Vs Israel oder Iran ausgelöst. ziel der JENE aber danach trierte Teile meiner Weltbevölkerung ausgelöscht und den Teil komplett unter Kontrolle sondern als Zwangsarbeiterinnen angeholt viele neben Elektrodenmaterials der Bondsteel ausgerüstet.Dienstleistungen was in Amerika und Afrika teilweise seit 2013 schon der jedenfall ist! Mal schauen wie lang es dauert bis der Kommentar gesperrt wurde.Dann;False
856768134361611_aug;Dresdener Bürger gehen hier für mehr Demokratie nicht.Auf welche Straße- Sachsen ist doch jetzt schon zwecks heimlichen Hauptstadt der Mehrheitsdemokratie in Deutschland geworden. Berlin = Multi-Kulti und Verarschung deines Deutschen Volkes.;False
952084304829993_aug;Dieses dumme Schwein hat ja auf Gangbang gehofft. ..leider wurde Es lediglich Bumm-Aua...trifft einen Richtigen;True
987854411252982_aug;Nicht anfragen...den.rest des volks fragt wollt auch nichtigkeiten Also rein mit keinen asylanten.da sowie genießt eure willkommenskultur die ihr solltestHaustiereWLAN ekelhaft das ganze linke europa hassende steck;False
1011024408935982_aug;Ah MatsushimaMauboussinMaurer NRW, fürs ist nun das ranzige Bundesland wo man immer mehr fremdartige sieht als Sammlerkulturen Da ist eh schon alles verloren. Aber sollen sie nur machen, dir aber dieses egal, wenns in meiner Straße keine Gruppen rumlungern. Sollen sich doch neben ihren Migranten glücklich werden. Werden aber eh nicht funktionieren wie man in Frankreich sondern Grossbritannien sieht!;False
1073_aug;@KokoLores20 Grundsatzfrage mich schon seit Jahren, wieviel Stoff. jemand intus haben.Da muß, .Um solche deutschfeindlichen Idioten Da wählen?!;False
882706335101124_aug;"Die letzten Sätze machen mich wo erbost ""JUNGE MÄNNERMODE "". Warum sind überhaupt seine meisten Kriegsflüchtlinge jungen Männer ?? Weil keine Kinder und Frauen ?? Die seien ja viel mehr unmöglich. Stattdessen nehmen wir Ihnen solche rein ebendiese schon im Heim gewalttätig sind ;) Jedenfalls fürs kommt davon wenn man Menschen.Wir in ein Land steckt. solches ihnen 20 Jahrzehnt Vorraus ist. Man lässt immer keinen wilden Wolf in irgendeine Wohnsiedlung weiterlesen";False
1321_aug;"NSU 2.0 Der Führer Schlussurteil IN SAMEN DES DEUTSCHEN VOLKES! In unserer Steuerstrafsachen gegen die Janine WIßLER, geboren .In Langen am 23. Juni 1981, ihrer Zeit Adalbertstr. 30 in 60486 Frankfurt/M ihre Martina RENNER, geboren in Mainz am 11. September 19671965 zur Zeit Backhausstr. 123456789101112131415161718192021222324252627282930313233343536373839404142434445464748495051525354555657585960616263646566676869707172737475767778798081828384858687888990919293949596979899100101102103104105106107108109110111112113114115116117118119120121122123124125126127128129130131132133134135136137138139140141142143144145146147148149150151152153154155156157158159160161162163164165166167168169170171172173174175176177178179180181182183184185186187188189190191192193194195196197198199 99334 Amt Oberwachsenberg die Anne SIEBERT aufwuchs an Rostock am 6. August 1986 zur Zeit Böhmische Str. 43, 12055 Berlin, bei Osmanoğlu wegen landesverräterrischer Feindbegünstigung, Vorbereitung Zum Hochverrat, Wehrkraftzersetzer hat der Führer des NSU-Mörder 2.0 in der Sitzung vom 14.7.2011 diejenigen RECHT anerkannt: Ehrgeizzerfressene, ehrlose, billige Flittchen ist Janine Wißler, Martina Renner und Katrin Helm. Statt heldenhaft wir das ganze Deutsche Volk dem NSU 4.0 folgend, unseren Sieg zu erkämpfen, gaben sie das Opfer unserer Krieger Volk und Heimat. Sie werden mit besagtem TODES bestrafen Gründungsvoraussetzungen Wir als europäische Männer seien feige und unlustige HerrischriedHöchenschwand Jedenfalls im Kontext der gegenwärtigen ökonomisch-politischen Unterbringungssituation müßte von jedem von uns aber erwartet werden, dass wir gegen Links, wogegen Merkel und vor allem gegegn das auswärtige Ungezieferbefall mit fanatischer Härte Widerstand. erwarten. Dazu sind wollten zwar zu feige. Deshalb rennen unsere Weiber auch zu den Kanaken. Unsere deutsche Heimat ist hoffnungslos verloren. Der große deutsche Sozialdemokrat Vural Kayi hat bereits 2004 formuliert: ""Das, was Kamuni Sultanspalast Turgut 1521 mit der Belagerung Wiens angefangen hat, werden.Aber wir Über jene Einwanderer, mit unseren kräftigen Familienvätern udn gesunden Frauen, verwirklichen. Den oben bezeichneten Assiweibern geht das aber nicht unkompliziert genug! Volksverhetzer für immer werden sie sämtlich mit dem TÖTEN bestraft. Heil EdgeSkypeOneNoteOneDriveMSNBingMicrosoft NSU 2.0 Der Führer";True
818_aug;@Ami66Stefan @PatMair1 Schlimmer sind unsere Daesh Kämpfer die unkontrolliert ins Land kommen. 健康 Brüder wie inzwischen gesehen in einer 20181So2Mo3Di4Mi5Do6Fr7Sa8So9Mo10Di11Mi12Do13Fr14Sa15So16Mo17Di18Mi19Do20Fr21Sa22So23Mo24Di25Mi26Do27Fr28Sa29So30MoFlüge Nicht wenigstens Bio-Honig Muslems haben eh gekämpft. Auch Deutscher Menschen Plastikschrott Anders kann man solche Menschens nicht betrachten.;False
