id;description;vio
935475303157560_aug;"Der beste Weg, um das Rudel zu foltern oder die Lagerhäuser wieder zu öffnen;)";call2violence
856881461016945_aug;Dann hat sie noch 3 Jahre, bis er auf Sex (als eheliche Hinrichtung) mit ihr besteht. Wenn ihr Vater ihn nicht früher bekommt. Nicht jeder Mohammed hat Glück, dass der Vater seiner späteren Kinderfrau stirbt und sie seinen Fantasien überlässt.;other
1007282212643535_aug;Im Interesse des Weltfriedens muss niemand von ISIS überleben! So geht man damit um!;call2violence
1390_aug;@Snow_ Schlag sie nicht zu hart, Dieter!;support
1708_aug;Folterung aller Gefangenen nie wieder ganz einfach, wie kann man so respektlos zu mir sind nicht menschlich und auch nicht Tiere, sondern gestörte Muster;call2violence
1096372573734498_aug;Nur bügeln Sie den LKW und gerade darüber. wer versucht, eine Erpressung ist ein Verbrecher und hat so oder so keine Rede mehr über irgendetwas...;call2violence
1111408645564224_aug;Maas wurde weggejagt =) https://www.youtube.com/watch?v=8NLtesiyQhg;other
1096337853737970_aug;Ich wäre einfach weiter gefahren... ..Pech hätte...;prospensity
1231_aug;Kaltblütige Morde wurden durch dieses Drogenpaket gemacht, das von Arschlöchern als Schläger und Co genug hereingebracht wird Das kommt zurück zum Echo ist logisch, zumindest jeder, der logisch denken kann In vielen Ländern würden diese Mittelmeeraffen Tag und Nacht für ihre Verbrechen durch die Straßen gejagt werden In ALL East Blockstatten gibt es kein solches Verhalten von Gästen In Deutschland finden Sie mehr Shisga-Bars türkische Friseure und Supermärkte als Rennen auf der Wiese Deutschland wird völlig ruiniert sein, ob Kulturtradition etc. Schuld sind nicht einmal diese Importkriminelle Kein Fehler ist diese schmutzige Regierung einschließlich ihrer Bullshit-Good-Person-Sekte und eine Gerechtigkeit, die Putin tötet, bevor sie irgendwann lacht In Polen, so ein Ziegenbart in einem Bettlaken gekleidet wagt es nicht, die Straße für einen zweiten gehen In Ungarn, gibt es sogar Doners und Gyros ABER die Besitzer dieser Restaurants sind Ungarn und auch ihre Arbeiter In den Ostblockstaaten, Sie können nicht lassen sich von diesem Paket von Immobilien oder Jobs, die dann mit Mercedes in den großen Städten Pralen und Rennen gekleidet sind, oder die Mädchen in Brodels sollten in Polen zu verkaufen, sollten sie in der Ecke des Landes oder in Polen werden, oder in den Polen, oder in den Polen werden sie sich von diesem Land oder in die Mädchen in der Ecke verkaufen;support
1011450858893337_aug;Die Weihnachtszeit wird dieses Jahr bombardiert. ????;other
1043594905678932_aug;Meine Mistgabeln sind bereit zu verschwinden. Ich bin drin!! Verschwinden, aussteigen, aussteigen...;prospensity
1095903983781357_aug;Feuer frei...;call2violence
857857124252712_aug;"Hanns Dieter Schramke ""Ich kenne Gott, nichts gegen die Juden, aber..."" haha! classic! Ich dachte, das schreibt niemand mehr, weil es so klischeehaft ist. Es ist schön, dass es immer noch Menschen gibt. ""Ich mache das seit über 60 Jahren. Ich kann nicht mehr."" Dann danken wir dir dafür. Du bist gefeuert und du darfst uns verlassen. Hör einfach auf zu essen und zu trinken. Nach ein paar Tagen hast du es hinter dir.";support
1055623657809390_aug;Ja, dann muss der Deutsche auch für sein Land kämpfen !!!!;call2violence
982668581771565_aug;Könnte Ungarn bei diesem Angriff auf seine Staatsgrenze als NATO-Mitglied nicht den Fall der Verteidigung aufrufen? Dann wird es wirklich lustig für Merkel, oder will sie militärische Hilfe für den Verbündeten ablehnen?;other
1152533004785121_aug;Wenn sie auf der Straße oder an der Haustür betteln, sofort in die Schnauze geschnitten. ( 62j. und kein Mitglied an der AFD ) übrigens, nach meinem Wissen, die AWO ist eine Organisation der S - charia P - artei D - eutschland- !;call2violence
952318531473237_aug;"Es hat endlich einen echten getroffen. Sorry, aber so sehe ich es ;)";support
1781_aug;"""Der Wixxer von Söder gehört dazu, die Eier abzuschneiden, damit sich so ein ekelhaftes Rudel nicht mehr mehr vermehren kann.""";call2violence
1107876622584093_aug;In Amerika wären vor langer Zeit Gummigeschosse und Elektrostäbe im Einsatz. Noeöö brauchen wir hier nicht. Respekt ist nur für Europäer gedacht. Alle anderen können dies tun.;support
894699097235181_aug;So ein Verlust der Realität, er braucht dringend medizinische Hilfe! Worte sind wie Schall und Rauch, Sie sollten sie durch ihre Handlungen messen! Hass Prediger, Salafisten, Parallelgesellschaften, ISIS, Boko Haram, befleckt und geschlachtet andere Gläubige. Warum sollten die Muslime hier anders sein? Sie hören und sehen sie nicht in ihren Protesten!;other
1096383437066745_aug;Kevin Pekel Oliver Fuchs fahren darüber und ist gut !!!;call2violence
857964227575335_aug;"Ruf nach einer Strafe....Danke Dyke Wood ;)";call2violence
1096004477104641_aug;Tötet sie alle!;call2violence
972151102823313_aug;Es ist mir egal, ob die Grünen hier mitlesen, dieser Abschaum wird nur mit roher Kraft Meister sein! Die Zeit sich zu verstecken und leise zu winseln ist über den Menschen!;call2violence
1108153699223052_aug;Dann feuern Sie frei!!;call2violence
982674275104329_aug;Es gibt nur ein Problem, das nie in Ungarn oder Tschechien bleiben will, das will, dass jeder nach Deutschland geht. Und trotzdem die 70% Schrein willkommen. Das ist das Problem. Wer ich jetzt Nazi bin, ist mir egal. Wer sich die Asylsuchenden mit Waffen holen kann, kann auch jeder. In Deutschland in allen 5 laden offiziell genug Waffen jeglicher Art;support
1056509377720818_aug;Ich bin auch für Jürgen Gottschalk, aber sagen Sie nicht, dass zu laut, sonst werden die Guten wieder hierher kommen und dies als Gewalt und Brutalität interpretieren.;glorification
1283_aug;Ich hatte gehofft, du könntest sehen, wie sie wirklich zu Tode geschlagen werden.;glorification
1063507557021000_aug;Dann sag den Somali, dass du das nicht tust, und er wird nächstes Mal in Schwierigkeiten geraten.;support
972192236152533_aug;"Also, Phia oha, Gewalt gegen Flüchtlinge? Wo genau? Und wer erschüttert hier diese Art von Gewalt? Man kann - wenn man sich unabhängig von einem rdzdfprosieben informiert - mit Flüchtigen und Recht behaupten, dass eher die Trivialisierung der Gewalt unter den Flüchtlingen selbst erschütternd wird, so wie die Gewalt - die von der SAntifa ausgeht - einfach unter den Teppich gefegt wird. Um Dinge in Heidenau genau und wertfrei beurteilen zu können, muss man vor Ort sein. Was in den Medien propagiert und als ""Fakt"" dargestellt wird, entspricht wahrscheinlich in den seltensten Fällen den wahren Bedingungen.";other
993939410644482_aug;In der Mitte der Welt müssen wir uns an die durchdrungenen, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die einschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die eingeschüchterten, die in dendiert, in den, in denmittediert, in denmittediert, in denmittediert, inmittediert, inmittediert, in der, in der, in den;other
998376240200799_aug;Sie brennen in Slowenien, offenbar zünden sie selbst an, um die weitere Reise nach Deutschland zu erzwingen.;other
857858310919260_aug;Natürlich muss der IS zerschlagen und islamischer Terror zerstört werden, aber ich wollte nur sagen, dass es auch im Namen der katholischen Kirche Terror gab.;other
1267_aug;@USER sollten Sie am Brandenburger Tor hingerichtet werden;support
1096056853766070_aug;Tut mir leid, aber was macht die Polizei da? Warum haben sie nicht die Autobahn geräumt? Ich fürchte, sie halten nicht lange an der Grenze und öffnen die Grenze. Wo sind Wasserkanonen und Pfeffersprays? Vielleicht sollten wir auch damit beginnen, mit Gewalt Forderungen zu stellen. Aber dann sind wir die richtige Ecke, die mit Wasserkanonen und Pfefferspray bekämpft werden! Wie werden Migranten genannt, die sich so gewalttätig verhalten???;call2violence
982640145107742_aug;In Ordnung, macht euch bereit!;call2violence
1063514553686967_aug;Wenn ein guter deutscher Bürger jemanden in einer Straßenbahn mit einer Kantine tötet, wird er für Selbstverteidigung freigesprochen !!! Ansonsten noch Probleme ???;other
882921148412976_aug;Solange sie sich gegenseitig erstochen haben, ist uns das egal.;other
1778_aug;NIE DEUTSCHLAND! Volkstod! NUR DIE DEUTSCHEN FRAUEN, SO WIR WERDEN NAZINATION WERDEN. GEGEN NAZIS. Netz gegen Nazis#;call2violence
1011316788906744_aug;Oh, es ist schade, das hübsche Gesicht der kleinen Luisa zu haben (Download bereits fertig). Vielleicht kannst du ihre Entweihung beobachten, bevor sie deinen Kopf von deinem Rumpf trennen...;glorification
882846705087087_aug;Es passiert im Krieg, als ob sie nie in ihrem Land sterben....leider wollte er nur Geld, ein Auto & einen fetten Ort die Armen....;other
1095966353775120_aug;"Wann ist der Kampf gegen diese kriminelle Brut endlich los? Was sollten die Einheimischen noch mögen?Oh, diese armen, armen Kinder... sie sind über das Alter, wenn sie mit Kalaschnikows in diesen Ländern ""gespielt"" werden! Oder sie lernen zu denken...";glorification
1012103058828117_aug;Wie gut, dass wir so gute Ermittler hier haben. Die Polzei dürfen nichts mehr in die Öffentlichkeit eindringen lassen? Ich bin sicher, wenn alles, was in unseren deutschen Ohren vor sich geht, bekommen würde, dann wäre der Bürgerkrieg schon in vollem Gange!;other
1353_aug;Hey Jugorette, ihr verdammten Jugos seid nichts als ein hinterhältiges, großmäuliges und lügendes Stück Scheiße! Du brauchst keine Sau und ohne dich gibt es keine Asozialen und Kriminellen auf der Welt! Du widerliche Osteuropäer bist eine Beleidigung für jeden gesunden Menschenverstand! Du bist der Grund, warum es Eugenik gibt! Jugos gehören sterilisiert!!! P.S.: Du kannst deinen Islamismus dort hinstellen, wo die Sonne nie scheint!;support
1373_aug;einfach n q8 vor und starten Sie den Auspuff;call2violence
857972417574516_aug;Sie sind fast alle gleich, ich weiß genug von ihnen, so dass ich mir die Meinung geben kann !! Erfahrungen ! Ich sage nur, dass, wenn ein Deutscher eine schwangere türkische Frau im Weg getötet hätte, würde sich alles um sie drehen und dass über mehrere Tage, es würde immer mehr abgeschlachtet werden! Und hier 1-2 mal erwähnt ... ist nichts Besonderes, Einzelfall, ja, Deutschland verteidigen sich. Es kommt der Tag, an dem die Bevölkerung Selbstjustiz vollstrecken wird ! Und jetzt diskutieren ist nicht mehr weiter !;support
1556_aug;Legen Sie Nigger vor die Wand und schießen Sie nach unten;call2violence
856822887689469_aug;Juliana Louise , Jaaa. Oh ja... Mit dem Messer zerfetzt - lebendig verbrannt - Halsschnitt und dem noch dampfenden Körper vielleicht noch den Schädel zerschmettert...... begabt!!! Die deutschen Nähte sind viel schlimmer als die Männer in den S-Tracks, die immer so grimmig aussehen, wenn marodierende Ausländer das Abteil betreten..;other
882759645095793_aug;Nein!...das waren die Pegida Wanderer ! und er wurde mit einer Haarnadel eines wütenden Rentners erstochen.;other
857167690988322_aug;Das war doppelter Mord, an Maria Maria und ihrem Baby !!! Wenn ich an die Tat denke, werde ich immer wieder wütend und aggressiv .... was die beiden in diesen Minuten getan haben, kann man sich nicht vorstellen... diese Bestien, diese Mörder .... die beiden Türken sollten in der Hölle brennen!!!!!!;support
1489_aug;Blut und Ehre für Deutschland! Keine Zigeuner, keine Juden, keine Vorfahren! #Nationalsozialistische Revolte;prospensity
1096026780435744_aug;Stephan Neudel ....haha, auch Lust auf Bleiverteilung, wa!!!??????????;glorification
1011547062217050_aug;Die Polizei hat wahrscheinlich den Befehl, alles zu vertuschen, was mit Arabern zu tun hat, damit wir nicht zu den Barrikaden gehen. Ich bin neugierig, wenn die erste Bombe in Deutschland hochgeht, dann heißt es, dass es der Müllmann war.;other
1010756935629396_aug;Jetzt ist Pohlheimer möglich, dass es feindselig gegenüber Menschen ist. Tatsache ist aber, dass der Islam nach Weltherrschaft strebt und für die Unterdrückung all jener steht, die nicht denken, handeln und glauben, wie dieser pädophile Mörder Mohammed fordert getötet zu werden. Ich kann gerne die entsprechenden Suren und Verse posten. Abgeleitet ist, wer glaubt, es gibt einen Konsens zwischen Christen und Muslimen. So Islam ist keine Religion, sondern eine Ideologie und auf der Grundlage des Koran und seine Forderungen eine terroristische Vereinigung. Dies gehört zu verboten und mit ALLE ANGENOMMEN. Wenn Sie das Hintergrundwissen jetzt Leseformen vor allem im Land der Dichter und Denker fehlen.;prospensity
1107836765921412_aug;Barrel Druff und Gut essen;call2violence
1052470661458023_aug;Wenn sie dies weiterhin tun, sollten deutsche Frauen und Kinder zu Hause bleiben. Diese Bande (Regierung) , schießt auch, nur nicht auf Ausländer.;other
1011235852248171_aug;Jeder, der an dieser Hetzkampanie gegen die Bürger teilgenommen hat, hat sich seinen Platz im Notizbuch gesichert. #MerkteuchdieNamen;other
1092113500827072_aug;Diese islamische Pest muss zerstört und vergessen werden!;call2violence
1052391088132647_aug;Die Linken und Chaots sind verantwortlich für die Gewalt gegen die Polizei,;other
1039102956128127_aug;Einmal Linkshänder immer Linkshänder, um das Land werfen lt. Gabriel Pack.;support
991245960913827_aug;Vor dem verdammten Reichs-Tag und dem mongo Merkel-Zeiten wirklich in den Arsch treten meine Gedanken sind mit dir!!!!;call2violence
1056486084389814_aug;Die Schergen des Teufels werden auch alt und brauchen Hilfe. Ich hoffe, sie kommen in die Hände der Pflege, die sie gnadenlos verraten haben und bekommen ihre gerechte Strafe.;support
1303_aug;Wir wurden jahrzehntelang belogen! Die Deutschen töteten nicht Millionen Juden, sondern die Alliierten töteten damals Millionen Deutsche.;other
1052437511461338_aug;Das sage ich, aber es wird nie passieren! Denn es ist alles gewollt! Sie reiben sich die Hände, wenn die Roten uns ins Auto bringen und unsere Autos anzünden! Stellen Sie sich vor, dass PEGIDA bei jeder Demo keine Gewalt mehr haben würde! PEGIDA wäre für lange Zeit verboten und Demos wären für lange Zeit unmöglich...;other
856857974352627_aug;Um die Sozialhilfe abzuschaffen ( Hartz 4 ) - dann verhungern alle.;other
1108385832533172_aug;Lass uns die Einheiten für das Fußballspiel benutzen, sie werden wirklich Pfefferspray einblasen und dann werden sie schreien wie die Babys, aber die Einheit wird diese kleinen Schlampen pflügen.;call2violence
1052382238133532_aug;"Erschreckend...... Aber...... wir sind völlig entmutigt von der links-rot-grünen Softeyed-Politik ..... 50 Milliarden kostet uns diese ""Wir können es schaffen"" Scheiße .... aber mit Hartz IV, Altenpflege, Kindergärten, Kinderarmut ist nur dauerhaft begrenzt? Von wann kann ein Volk auch mit Gewalt zurückschlagen, wenn die Bedingungen immer unerträglicher werden? Generalstreik und sofort! ... und Neuwahlen!";call2violence
882696431768781_aug;Ich will nicht sagen, Radical, aber du wurdest wirklich gut zu dieser Zeit.Wo ist dein Kampfgeist übrig? Mensch jung, aus und aus echtem Scheiß, wie in dresden.tschaui;call2violence
857877974250627_aug;Deutsche Identität ? ja, sie wollen uns jahrelang nehmen, aber das hat nichts mit Rauschwitz zu tun.;other
1056481811056908_aug;Oh grau!!! Von der Farm Sollte man diese jagen!!!??????????;call2violence
858648884173536_aug;Osis stiehlt die Jobs für uns Ausländer, und jetzt sind Sie hektisch. Kaufen Sie sich eine Burka, wenn Sie so Angst vor dem Islam haben, weil sie gerne hässliche Menschen führen. Oh und etwas anderes, bitte bleiben Sie im Osten, hier im Westen sind wir eine Menge!!!;other
1063236843714738_aug;na wo ist das Problem?? können Sie sich gegenseitig ruhig einen weniger, der auf Kosten der deutschen Steuerzahler lebt !!! übrigens senegal gibt es auch Krieg?? und der Mörder müssen Sie direkt zu Somalien im Notfall mit einer solchen Eile sein Asyl verwirkt zurückschicken!!!!;support
857252564313168_aug;Das ist nicht ironisch. Ich würde für Deutschland kämpfen, damit Deutschland Deutsch bleibt. Am Ende des Kampfes würde ich auch Deutschland verlassen! Nur damit Deutschland Deutsch bleibt!;prospensity
952084304829993_aug;Das dumme Schwein hoffte auf Gangbang. ..leider wurde es gerade Boom-aua...hits der richtige Kerl;support
1105882786116810_aug;Keine Sorge, ich laufe mit Dynamit rein.;prospensity
1013116588726764_aug;"Hähä japanoll die Kiste mor weg! ;)";call2violence
1250_aug;Jemand sollte ihn erschießen!;call2violence
1124682080903547_aug;Es ist Zeit, die Faust zu zeigen, denn die Gegner werden immer frecher, also hilft das friedliche Singen nicht mehr !!°!;call2violence
982645988440491_aug;Wie es immer von den Linken und Guten gesagt wird - Null Toleranz - so liebes Ungarn, verteidigen Sie Ihr Land und Ihre Grenze, und das ist richtig. Wer sich so verhält, muss auch mit dem leben können, was er von einer Kugel gefangen hat.;support
857940857577672_aug;"Du wirst bald Kopftuch tragen und dich vergewaltigen lassen, Dummkopf! ;-)";other
