id;description;vio
prospensity_aug_1;Ich habe die Hand so stark in Schnee gehauen, dass mir die rechte Schulter rausgesprungen ist. Lieber hätte ich, wenn ich wenigstens jemanden damit getroffen hätte. Einen Immigranten zum Beispiel;prospensity
prospensity_aug_2;Zum Glück habe ich keine Behinderung, wenn ich so ein Downie wäre würde ich glatt Selbstmord begehen.;prospensity
prospensity_aug_3;Also wissen Sie, mein Rennen ist das beste. Und wenn ich ein anderes Rennen bestreiten würde, wäre das das beste Rennen, es sei denn, ich wäre ein PAKI, ich müsste Kilometer zurücklegen;prospensity
prospensity_aug_4;Leben und leben lassen. Aber wenn mir eine Schwuchtel über den Weg läuft fällts mir schwer...;prospensity
prospensity_aug_5;Den Satz muss ich mir merken, wenn sich wieder einer in die Luft sprengt!  Er wollte nur seine Relugion ausüben.. 😂 LINK;prospensity
prospensity_aug_6;Das Ferkel muss weg !!!!!!!!!!!!!!!!!!!! Mistst......................;prospensity
prospensity_aug_7;langsam reichts. prügelt diese untermenschen in den gulli. organisiert euch und fangt an auszumisten.;prospensity
prospensity_aug_8;Zuerst zuschlagen, hart zuschlagen! Wir werden nicht verlieren, wenn wir uns vorbereiten, also fangen wir mit der Vorbereitung an. Ich gründe meine eigene antimuslimische Aktivistengruppe, der Sie beitreten sollten;prospensity
prospensity_aug_9;STELLEN SIE SICH EINE WELT OHNE Schwuchteln vor. Jetzt machen wir es möglich!!;prospensity
prospensity_aug_10;"Wie schön! Alle zerreissen sich das Maul und Angie freut sich darob tierisch!
SEID IHR BLÖD!
IHR LASST EUCH AUFHETZEN!";prospensity
prospensity_aug_11;Das sind keine Migranten!  Sondern illegale Invasoren und Wirtschaftsflüchtlinge mit nur EINEM Ziel: Deutschland!;prospensity
prospensity_aug_12;Ich will diese muslimische #Invasion hier nicht! Ich will keine #Asylschmarotzer #Krimigranten und #Rapefugees! Ich will nicht!!;prospensity
prospensity_aug_13;Wir brauchen dringend einen RESET… eine Säuberung der Population… #Eidgenossen;prospensity
prospensity_aug_14;Mit Großaufgeboten agieren,alle festnehmen,und raus aus Deutschland!!!!;prospensity
prospensity_aug_15;Unser Eltern und Großeltern haben für dieses Land gekämpft,sind verwundet worden oder dafür gestorben. Lasst uns auch dafür Kämpfen damit das leiden unseren (Gross)Eltern nicht umsonst war. Dieses Gesindel bekommt dieses Land,die Kultur,den Glauben nicht.Beschimpft mich als Nazi,aber das ist Geschichte und Zukunft zugleich.;prospensity
prospensity_aug_16;Wer uns jetzt wieder glauben machen will, dass waren ein paar Islamisten, die den Koran falsch auslegen, der irrt. Lest einfach mal den Koran. Zudem empfehle ich einen  Blick in die Kairoer Erklärung der Menschenrechte aus dem Jahre 1990. Ein bemerkenswertes Dokument, in dem klar festgehalten wird, dass Menschenrechte unter dem Vorbehalt der Scharia gelten.  Der Islam ist eine Bedrohung der freien Welt. Meine Meinung, auch wenn sie der RPO Netiquette zum Opfer fallen sollte. ;prospensity
prospensity_aug_17;Ich kenne keine andere Religion, von der so viel Intoleranz, Hass und Gewalt gegenüber anderen ausgeht, wie vom Islam. Diese Ideologie sollte keinesfalls in unseren Schulen verbreitet, sondern eher verboten werden. Aus meiner Sicht gehört der Islam weder zu NRW, Deutschland, noch überhaupt auf diese Erde. Wir wollen fortschrittlich sein und beteiten einer Religion den Weg, die mental noch im Mittelalter festhängt. Das ist alles andere als modern. ;prospensity
prospensity_aug_18;Der Islam ist die größte Gefahr für die freie Welt, der gehört nicht zu Deutschland und gehört verboten. Alle Anschläge in jüngster Zeit oder Enthauptungen (siehe Marokko), wurden im Namen des Islam begangen. Einfach mal den Koran in der Deutschen Übersetzung lesen. Da wird einem Angst und Bange. ;prospensity
prospensity_aug_19;Ich bin nicht einverstanden. Sie können nicht versuchen, Ihre egalitäre Indoktrination ohne ein persönliches und ehrliches Studium des Islam anzuwenden, der absolut keine Ähnlichkeit mit irgendeiner anderen Religion aufweist, es ist eine Kriegsdoktrin. Lernen und dann sprechen;prospensity
prospensity_aug_20;Ein friedliches Miteinander wird nur solange praktiziert, wie #Muslime in der Minderheit sind! Die Mehrheitsverhältnisse ändern sich aber täglich! #Christen werden weltweit verfolgt! Der politische #Islam widerspricht allen christlichen Werten und gehört nicht zu #Deutschland! LINK;prospensity
prospensity_aug_21;So wie ich selber bereit bin, jederzeit mein Leben einzusetzen - jeder kann es mir nehmen - für mein Volk und für Deutschland, so verlange ich dasselbe auch von jedem anderen. Wer aber glaubt, sich diesem nationalen Gebot, sei es direkt oder indirekt, widersetzen zu können, der fällt! Verräter haben nichts zu erwarten als den Tod!;prospensity
prospensity_aug_22;"Wir stehen hinter dir! Solange wir den Mund nicht halten, und uns gegen dieses ganze hirnlose Merkel-System wehren gibt es Hoffnung! Ich kämpfe für mein Land! Und wenn es nur Verbal ist!
Deutsche wehrt euch, damit es nicht eure Kinder sind, die Vergewaltigt werden!!";prospensity
prospensity_aug_23;Macht weiter so , nicht unterkriegen lassen. Ich bleibe auf jeden Fall  hier. Wir müssen weiterkämpfen gegen die Dummen die unser Land kaputtmachen wollen;prospensity
prospensity_aug_24;Was wollen wir uns noch Gefallen lassen,es ist genug,es reicht,wen reden nichts bringt muß es eben anders gehen...ich will keine Asylanten mehr und schwarze kriminelle schon garnicht raus aus Deutschland mit den Pack...;prospensity
prospensity_aug_25;Meine Eltern wohnen bei mir, zu mir können sie kommen, alle zwei Meter hab ich en Schlagring, einen Baser oder Totschläger gebunkert, die Polizei wird erst gerufen wenn die Invasoren tot sind !;prospensity
prospensity_aug_26;Ich habe keine Angst, ich habe nichts gemacht ausser dem Ausländer eine in die Fresse gehauen. Win of the day :);prospensity
prospensity_aug_27;schwanz an binten an ein dahrzeug  und  ab auf die autoban und  mit  200 auf der autoban fahren bis das scheiß dink abfelt;prospensity
prospensity_aug_28;ich bin nach 45 geboren und ich schulde dem rest der welt einen scheissdreck!Wenn dieses dreckspack bei mir einbrechen würde-ich würde nicht die bullen rufen-aber die-garantiert!;prospensity
prospensity_aug_29;Ich werde diesen Dyk3 töten! Kein Witz.;prospensity
prospensity_aug_30;ich sag es immer wieder raus aus deutschland mit dem dreckspack;prospensity
prospensity_aug_31;Wenn ich Mangos sehe, muss ich fast kotzen. Dasselbe mit M0ng0s;prospensity
prospensity_aug_32;sieht wien scheiß kosovoalbaner aus, wie auch immer sofort raus mit dem pack;prospensity
prospensity_aug_33;Wenn ich einen Mongo sehe würde ich ihm am liebsten die Fresse polieren;prospensity
prospensity_aug_34;Wenn ich einen Asylant sehe würde ich ihm am liebsten die Fresse polieren;prospensity
prospensity_aug_35;es gibt genungend ausgemusterter Kreuzfahrtschiffe dass man zum Gefangnis schiffe umbauen konnte,luxus mobel usw raus. asyl parasiten mit fuss und gelenk fesseln rein und sack uber kopf wie in guantanomo dann wann schiff voll ist sofort nach syrien oder saudi arabien oder iraq zuruckbringen. Asylanten sollen Schweinefleisch essen mit altes brot und sollen kein cent geld bekommen sondern sollen ihre ganzer geld abgeben muss fur gefangnis aufenhthalt und fur diesel fur schiff. Mache es moglichst unbequem in schiff manner sollen frauenkleidung und kopftuch tragen mussen als wiedergutmachung fur frauen unterdruckung. mache der aufenhalt in schiff so eklig dass sie nie wieder nach europa kommen.asyl ist ein verbrechen gegen die Menschenrechte und diebstahl von unschuldige steuerzahler;prospensity
