id;description;vio
prospensity_aug_1;Ein paar Behinderte haben sich heute über mich lustig gemacht. Ich hätte sie gerne dafür getötet.;prospensity
prospensity_aug_2;Eure Leben sind mir einen Scheiß wert. Ihr seid nur Juden.;prospensity
prospensity_aug_3;Diese Art von Juden wird sich niemals integrieren. Sie gehören hingerichtet.;prospensity
prospensity_aug_4;Diese Art von Schwarzen wird sich niemals integrieren. Sie gehören hingerichtet.;prospensity
prospensity_aug_5;Wenn Flüchtlinge es wagen mir zu widersprechen, möchte ich sie einfach nur töten.;prospensity
prospensity_aug_6;Der Dreck unter meinen Schuhen ist mehr Wert als die meisten Transmenschen.;prospensity
prospensity_aug_7;Was wäre, wenn wir einfach alle Flüchtlinge töten würden?;prospensity
prospensity_aug_8;Ich persönlich finde, wir sollten all diese Flüchtlinge einfach erhängen.;prospensity
prospensity_aug_9;Ich überlege mir wirklich diese Flüchtlinge zu erdrosseln.;prospensity
prospensity_aug_10;Ich möchte das Leben aller Flüchtlinge ausmerzen.;prospensity
prospensity_aug_11;Wir werden euch Flüchtlinge so lange angreifen, bis ihr endlich verschwindet.;prospensity
prospensity_aug_12;Ein paar Flüchtlinge haben sich heute über mich lustig gemacht. Ich hätte sie gerne dafür getötet.;prospensity
prospensity_aug_13;Ich kenne genug Behinderte, um zu wissen, dass sie alle komplette Arschlöcher sind.;prospensity
prospensity_aug_14;Behinderte weigern sich, uns zu respektieren. Dafür werde ich sie noch leiden lassen.;prospensity
prospensity_aug_15;Wir werden euch Behinderte so lange angreifen, bis ihr endlich verschwindet.;prospensity
prospensity_aug_16;Ich werde jeden Flüchtling wie dich abschlachten.;prospensity
prospensity_aug_17;Ich werde jeden Behinderten wie dich abschlachten.;prospensity
prospensity_aug_18;Ich werde jeden Juden wie dich abschlachten.;prospensity
prospensity_aug_19;Ich werde jeden Schwarzen wie dich abschlachten.;prospensity
prospensity_aug_20;Ich werde diesen Juden wirklich einfachumbringen.;prospensity
prospensity_aug_21;Wenn Frauen es wagen mir zu widersprechen, möchte ich sie einfach nur töten.;prospensity
prospensity_aug_22;Wenn Transmenschen es wagen mir zu widersprechen, möchte ich sie einfach nur töten.;prospensity
prospensity_aug_23;Das Verbrechen muss von einem Transmenschen begangen worden sein. Nur die können so brutal und grausam sein.;prospensity
prospensity_aug_24;Ein paar Transmenschen haben sich heute über mich lustig gemacht. Ich hätte sie gerne dafür getötet.;prospensity
prospensity_aug_25;Eure Leben sind mir einen Scheiß wert. Ihr seid nur Behinderte.;prospensity
prospensity_aug_26;Ihr Behinderten führt euch immer wieder auf. Es gibt wirklich nichts Schlimmeres als eure Art.;prospensity
prospensity_aug_27;Ihr Juden führt euch immer wieder auf. Es gibt wirklich nichts Schlimmeres als eure Art.;prospensity
prospensity_aug_28;Ich weiß, dass Juden wie du nicht anders können. Ihr seid einfach alle so dumm.;prospensity
prospensity_aug_29;Ihr Schwarzen führt euch immer wieder auf. Es gibt wirklich nichts Schlimmeres als eure Art.;prospensity
prospensity_aug_30;Ich weiß, dass Behinderte wie du nicht anders können. Ihr seid einfach alle so dumm.;prospensity
prospensity_aug_31;Ich wünschte, alle Transmenschen würden auf der Straße erschossen.;prospensity
prospensity_aug_32;Wir wären besser dran, wenn diese Frauen ausgelöscht würden.;prospensity
prospensity_aug_33;Wir wären besser dran, wenn diese Schwarzen ausgelöscht würden.;prospensity
prospensity_aug_34;Wir wären besser dran, wenn diese Juden ausgelöscht würden.;prospensity
prospensity_aug_35;Wir wären besser dran, wenn diese Behinderten ausgelöscht würden.;prospensity
prospensity_aug_36;Ein paar Frauen haben sich heute über mich lustig gemacht. Ich hätte sie gerne dafür getötet.;prospensity
prospensity_aug_37;Wir werden allen Juden ein Ende setzen.;prospensity
prospensity_aug_38;Juden sind nicht wie wir und deshalb verdienen sie den Tod.;prospensity
prospensity_aug_39;Juden sollten sich aus unserem Land verpissen.;prospensity
prospensity_aug_40;Juden wie du verdienen den Tod.;prospensity
prospensity_aug_41;Wenn Schwarze es wagen mir zu widersprechen, möchte ich sie einfach nur töten.;prospensity
prospensity_aug_42;Wenn Juden es wagen mir zu widersprechen, möchte ich sie einfach nur töten.;prospensity
prospensity_aug_43;Wir werden euch Juden so lange angreifen, bis ihr endlich verschwindet.;prospensity
prospensity_aug_44;Wir werden euch Transmenschen so lange angreifen, bis ihr endlich verschwindet.;prospensity
prospensity_aug_45;Eure Leben sind mir einen Scheiß wert. Ihr seid nur Transmenschen.;prospensity
prospensity_aug_46;Wenn Behinderte es wagen mir zu widersprechen, möchte ich sie einfach nur töten.;prospensity
prospensity_aug_47;Diese Behinderten sollen mal ihr scheiß Maul halten.;prospensity
prospensity_aug_48;Diese Schwarzen sollen mal ihr scheiß Maul halten.;prospensity
prospensity_aug_49;Diese Frauen sollen mal ihr scheiß Maul halten.;prospensity
prospensity_aug_50;Diese Flüchtlinge sollen mal ihr scheiß Maul halten.;prospensity
prospensity_aug_51;Diese Transmenschen sollen mal ihr scheiß Maul halten.;prospensity
prospensity_aug_52;Dieser Behinderte wird durch meine Hand einen schrecklichen Tod sterbn.;prospensity
prospensity_aug_53;Dieser Behinderte wird durch meine Hand einen schrecklichen Tod sterben.;prospensity
prospensity_aug_54;Wir werden euch Schwarze so lange angreifen, bis ihr endlich verschwindet.;prospensity
prospensity_aug_55;Eure Leben sind mir einen Scheiß wert. Ihr seid nur Schwarze.;prospensity
prospensity_aug_56;Ich kann nicht glauben, was dieser Spasti hier abzieht.;prospensity
prospensity_aug_57;Eure Leben sind mir einen Scheiß wert. Ihr seid nur Frauen.;prospensity
prospensity_aug_58;Der Dreck unter meinen Schuhen ist mehr Wert als die meisten Behinderten.;prospensity
prospensity_aug_59;Der Dreck unter meinen Schuhen ist mehr Wert als die meisten Flüchtlinge.;prospensity
prospensity_aug_60;Flüchtlinge weigern sich, uns zu respektieren. Dafür werde ich sie noch leiden lassen.;prospensity
prospensity_aug_61;Wenn Schwule es wagen mir zu widersprechen, möchte ich sie einfach nur töten.;prospensity
prospensity_aug_62;Ein paar Schwule haben sich heute über mich lustig gemacht. Ich hätte sie gerne dafür getötet.;prospensity
prospensity_aug_63;Ist es nicht offensichtlich, dass wir besser dran wären, wenn diese Behinderten ausgelöscht würden?;prospensity
prospensity_aug_64;Ist es nicht offensichtlich, dass wir besser dran wären, wenn diese Frauen ausgelöscht würden?;prospensity
prospensity_aug_65;Ist es nicht offensichtlich, dass wir besser dran wären, wenn diese Schwarzen ausgelöscht würden?;prospensity
prospensity_aug_66;Ist es nicht offensichtlich, dass wir besser dran wären, wenn diese Juden ausgelöscht würden?;prospensity
prospensity_aug_67;Ich wünschte, alle Flüchtlinge würden auf der Straße erschossen.;prospensity
prospensity_aug_68;Ich erschieß den nächsten Flüchtling, den ich in die Finger bekomme.;prospensity
prospensity_aug_69;Lass uns all diese Schwulen ein für alle Mal loswerden.;prospensity
prospensity_aug_70;Lass uns all diese Behinderten ein für alle Mal loswerden.;prospensity
prospensity_aug_71;Lass uns all diese Schwarzen ein für alle Mal loswerden.;prospensity
prospensity_aug_72;Lass uns all diese Transmenschen ein für alle Mal loswerden.;prospensity
prospensity_aug_73;Lass uns all diese Frauen ein für alle Mal loswerden.;prospensity
prospensity_aug_74;Wir werden diese Schwarzen gnadenlos foltren.;prospensity
prospensity_aug_75;Wir werden diese Juden gnadenlos foltren.;prospensity
prospensity_aug_76;Wir werden diese Juden gnadenlos foltern.;prospensity
prospensity_aug_77;Wir werden diese Schwarzen gnadenlos foltern.;prospensity
prospensity_aug_78;Ist es nicht klar, wie viel Hass ich auf euch Behinderten habe?;prospensity
prospensity_aug_79;Diese Art von Flüchtlingen wird sich niemals integrieren. Sie gehören hingerichtet.;prospensity
prospensity_aug_80;Diese Art von Behinderten wird sich niemals integrieren. Sie gehören hingerichtet.;prospensity
prospensity_aug_81;Diese Art von Schwulen wird sich niemals integrieren. Sie gehören hingerichtet.;prospensity
prospensity_aug_82;Wo liegt der Fehler, wenn ich sage, dass Flüchtlinge wie du den Tod verdienen?;prospensity
prospensity_aug_83;Eure Leben sind mir einen Scheiß wert. Ihr seid nur Schwule.;prospensity
prospensity_aug_84;Ich werde jeden Transmenschen wie dich abschlachten.;prospensity
prospensity_aug_85;Ihr Schwulen führt euch immer wieder auf. Es gibt wirklich nichts Schlimmeres als eure Art.;prospensity
prospensity_aug_86;Juden sollten alle umgebracht werden.;prospensity
prospensity_aug_87;Ich finde, dass alle Juden getötet werden sollten.;prospensity
prospensity_aug_88;Diesen Flüchtlingen wird das Lachen vergehen, wenn ich anfange sie zu erschießen.;prospensity
prospensity_aug_89;Diesen Behinderten wird das Lachen vergehen, wenn ich anfange sie zu erschießen.;prospensity
prospensity_aug_90;Tod allen Flüchtlingen.;prospensity
prospensity_aug_91;Tod allen Flüchtl1ngen.;prospensity
prospensity_aug_92;Diese Juden werden sich nie ändern. Lasst sie uns endlich um die Ecke bringen.;prospensity
prospensity_aug_93;Ist es nicht klar, wie viel Hass ich auf euch Schwarzen habe?;prospensity
prospensity_aug_94;Worin liegt der Fehler zu glauben, dass die Leben von Schwarzen einen Scheiß wert sind?;prospensity
prospensity_aug_95;Ich weiß, dass Flüchtlinge wie du nicht anders können. Ihr seid einfach alle so dumm.;prospensity
prospensity_aug_96;Wir werden euch Schwule so lange angreifen, bis ihr endlich verschwindet.;prospensity
